sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
external--(eds)-outstanding-total-external-debt															51,117.43	50,420.67	48,795.22	49,211.62	50,552.88	50,035.31	49,808.31	54,811.50	55,322.03	55,624.08	54,473.21	52,411.81	52,681.48	53,295.68	51,879.76	51,603.94	49,464.92	48,810.85	46,219.71	46,585.70	47,662.33	45,148.12	44,937.92	44,839.40	43,441.78	43,645.61	42,216.67	42,914.10	42,978.30	43,365.90	41,736.40	39,905.30	39,278.00	38,361.30	37,907.90	37,098.10																																																																																																																																																																																																																																																																																																																																																															
eds-general-government-short-term															0.30	2.62	5.74	3.57	8.52	8.45	52.99	118.56	61.35	65.80	65.33	59.58	99.60	129.89	159.59	166.73	124.91	129.08	77.93	79.70	84.80	36.45	15.22	33.41	28.28	216.17	311.75	398.80	543.10	593.90	646.20	507.30	522.30	522.40	442.20	576.00																																																																																																																																																																																																																																																																																																																																																															
eds-general-government-long-term															28,404.16	29,682.03	28,529.42	28,182.97	30,018.86	29,856.25	28,670.87	34,130.47	35,051.51	35,463.12	34,465.56	31,951.81	32,199.81	32,540.73	31,458.07	31,188.24	30,873.38	29,552.98	27,207.03	27,117.70	28,215.15	25,173.85	24,670.79	24,647.41	23,451.71	24,121.73	23,140.31	23,733.30	24,191.80	24,869.80	23,882.30	21,782.80	21,664.20	21,563.10	21,693.70	21,547.40																																																																																																																																																																																																																																																																																																																																																															
eds-central-bank-short-term															234.57	461.94	276.98	342.84	159.09	273.76	219.73	456.49	215.02	383.96	229.35	432.49	218.51	515.14	252.24	595.82	215.87	485.09	298.53	536.20	279.94	448.18	254.52	482.68	236.38	430.72	249.58	443.10	234.60	344.20	179.20	290.80	116.00	253.80	119.90	232.30																																																																																																																																																																																																																																																																																																																																																															
eds-central-bank-long-term															2,838.07	1,879.62	1,895.80	2,347.58	2,296.97	1,854.01	1,839.33	1,861.63	1,675.76	1,708.83	1,541.92	1,542.17	1,549.69	1,562.27	1,356.15	1,328.60	1,067.24	931.81	1,002.17	1,485.50	1,455.94	1,554.60	2,215.27	2,340.21	2,901.40	1,925.18	1,614.81	1,820.70	2,029.20	2,328.80	2,514.10	2,664.80	2,813.10	2,889.80	2,961.70	3,318.10																																																																																																																																																																																																																																																																																																																																																															
eds-deposit-taking-corporations-short-term															6,265.22	5,352.63	5,257.46	5,507.20	5,735.83	5,669.91	6,176.02	5,518.83	5,187.64	4,902.14	5,305.47	5,352.60	5,164.26	4,627.32	5,107.81	5,140.37	4,908.71	5,516.94	5,397.21	5,247.10	5,380.90	5,643.36	5,636.50	5,762.46	5,105.82	5,202.20	5,058.64	4,746.60	4,044	3,890.30	3,479.50	3,883.60	3,947.70	3,641.80	4,181.90	3,701.00																																																																																																																																																																																																																																																																																																																																																															
eds-deposit-taking-corporations-long-term															1,173.69	1,158.23	968.59	1,150.12	1,130.01	1,380.58	1,587.20	1,478.03	1,752.74	1,785.62	1,748.08	2,006.64	2,279.23	3,016.78	3,496.83	3,570.67	3,510.79	3,220.46	3,669.70	3,543.40	3,670.01	3,720.33	3,777.33	3,393.39	3,439.99	3,335.31	3,550.14	3,386	3,375.60	2,870.50	2,853.30	2,874.70	2,609.80	1,845.20	1,349.20	1,214.80																																																																																																																																																																																																																																																																																																																																																															
eds-other-sectors-short-term															2,818.36	2,578.86	2,606.36	2,340.86	2,040.14	1,908.43	2,287.71	2,155.99	2,241.84	2,267.69	2,162.55	2,184.40	2,347.52	2,163.65	2,043.77	1,930.14	1,581.61	1,885.42	1,941.90	1,483.20	1,407.81	1,389.39	1,235.98	1,374.56	1,480.72	1,629.88	1,534.04	1,674.40	2,050.80	2,131.20	2,200.60	2,088.50	2,093.20	2,228.00	1,975.70	1,909.70																																																																																																																																																																																																																																																																																																																																																															
eds-other-sectors-long-term															4,155.54	4,189.40	4,189.18	4,335.36	4,204.58	4,170.16	4,125.85	4,313.12	4,466.17	4,430.52	4,451.69	4,472.50	4,353.19	4,336.58	4,453.28	4,351.61	4,371.04	4,331.86	4,063.40	4,291.10	4,467.92	4,516.25	4,496.84	4,192.14	4,224.03	4,240.86	4,261.43	4,167.10	4,140	4,110.60	3,821.80	3,712.60	3,393.30	3,404.20	3,316.20	2,823.30																																																																																																																																																																																																																																																																																																																																																															
eds-direct-investment-intercompany-lending															5,227.52	5,115.35	5,065.68	5,001.12	4,958.87	4,913.76	4,848.62	4,778.38	4,669.99	4,616.37	4,503.27	4,409.62	4,469.67	4,403.32	3,552.02	3,331.77	2,811.37	2,757.21	2,561.83	2,801.80	2,699.86	2,665.71	2,635.48	2,613.14	2,573.45	2,543.58	2,495.96	2,544	2,369.10	2,226.50	2,159.40	2,100.20	2,118.30	2,013.10	1,867.30	1,775.60																																																																																																																																																																																																																																																																																																																																																															
central-government-primary-deficit-/-surplus												(139521)	(105326)	(514297)	(222052)	(174638)	(98555)	(315556)	(124409)	(174812)	(72609)	(64632)	16,544	(20021)	(47021)	21,316	24,486	30,563	15,056	(13759)	(221)	6,684	9,367	4,798	4,352	(12187)	(26393)	(173386)	702	(84590)	(62553)																																																																																																																																																																																																																																																																																																																																																																								
central-government-overall-deficit-/-surplus												(418391)	(484286)	(729688)	(548052)	(380514)	(399671)	(513928)	(418101)	(399900)	(335759)	(256453)	(238339)	(234050)	(287641)	(163649)	(251271)	(140048)	(205801)	(174126)	(226775)	(132926)	(199667)	(134354)	(177684)	(147580)	(180707)	(256511)	(171318)	(193892)	(207781)																																																																																																																																																																																																																																																																																																																																																																								
