sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Licensed Commercial Banks-Specific Provision for Bad and Doubtful Advances			214,690	148,580	105,243	73,878	69,190	67,667	59,396	56,554	43,794	40,998	43,671	54,990	46,689	41,720	42,652	44,502	43,622	42,465	38,344	34,762	32,245	29,650	22,203																																																																												
Licensed Commercial Banks-Risk Weighted Assets			7,058,635	6,625,559	6,408,989	5,274,709	4,665,778	3,969,325	3,152,442	2,659,643	2,335,851	2,022,358	1,612,687	1,359,096	1,426,645	1,214,846	1,036,611	789,061	631,895	529,910	392,475	363,238	363,374	327,451	301,426																																																																												
Licensed Commercial Banks-Time Deposits			5,846,205	5,114,557	4,751,133	3,985,888	3,200,730	2,531,020	2,180,149	2,170,548	1,794,658	1,333,777	1,061,393	968,288	828,871	722,431	534,023	398,068	326,066	266,670	231,955	212,995	174,481	152,678	144,852																																																																												
Licensed Commercial Banks-Savings Deposits			2,788,808	2,055,438	1,909,489	1,779,045	1,627,851	1,518,521	1,282,186	974,164	874,131	849,820	745,809	611,260	497,727	485,931	458,998	440,573	383,433	321,904	276,619	240,080	213,338	188,038	157,222																																																																												
Licensed Commercial Banks-Other Deposits			258,602	185,988	203,226	163,488	141,630	142,986	133,330	111,179	95,675	94,832	78,786	71,586	67,484	73,209	59,442	38,261	37,775	35,058	45,456	39,705	31,830	28,298	28,779																																																																												
Licensed Commercial Banks-Operating Expenses (Non interest Expenses)			220,745	233,077	222,680	180,462	174,254	157,137	140,027	126,293	118,334	104,436	94,418	85,694	79,561	67,454	59,891	46,930	41,117	36,807	31,785	30,385	27,382	22,031	21,557																																																																												
Licensed Commercial Banks-Staff Cost			99,837	100,497	95,045	81,938	76,866	70,099	60,097	55,269	53,106	45,157	42,165	39,041	34,578	28,946	25,541	20,864	19,135	17,950	14,943	13,987	13,425	11,129	9,870																																																																												
Licensed Commercial Banks-Provision for Bad and Doubtful Debts and Loan Write-offs (net)			79,426	56,002	38,629	18,683	19,371	24,736	20,532	24,878	13,692	4,628	1,073	25,150	15,251	10,727	8,134	7,337	9,683	11,321	7,948	6,164	5,874	9,964	5,271																																																																												
Licensed Commercial Banks-Profit Before Tax			166,063	159,495	183,004	175,454	147,519	122,739	109,861	96,054	104,018	78,643	69,591	40,751	44,373	37,584	30,302	22,463	15,323	12,539	9,232	6,478	5,026	-971	6,790																																																																												
Licensed Commercial Banks-Profit After Tax			119,937	104,774	119,527	125,507	104,371	85,608	76,589	68,419	73,539	55,075	45,183	20,833	25,174	21,796	18,961	15,241	11,433	10,279	7,664	4,795	3,257	-2,907	4,704																																																																												
