sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
No.of Dental Surgeons			-	-	1,561	1,473	1,433	1,340	1,360	1,279	1,223	n.a.	1,122	1,051	858	1,314	1,181	954	915	889	867	751	637	529	521	481	462	421	387	390	381	358	317																																																																				
No.of Registered-Assistant Medical Offices			-	-	789	818	883	936	999	1,064	1,130	n.a.	1,096	1,099	1,134	1,194	1,183	1,274	1,218	1,260	1,326	1,343	1,349	1,340	1,340	1,384	1,397	1,376	1,357	1,305	1,253	1,201	1,074																																																																				
No.of Public Health Nursing Sisters			-	-	314	328	277	290	277	322	332	n.a.	310	169	270	290	299	313	315	310	310	259	270	237	183	145	189	174	117	109	113	101	140																																																																				
No.of Public Health Inspectors			-	-	1,971	1,720	1,692	1,604	1,526	1,544	1,510	n.a.	1,383	1,371	1,475	1,740	1,535	1,512	1,397	1,420	1,470	1,401	1,486	1,142	888	901	915	932	928	876	846	914	886																																																																				
No.of Public Health Midwives			-	-	6,158	5,746	6,247	6,041	5,954	5,950	5,821	n.a.	5,634	5,167	5,331	6,167	5,080	4,896	4,524	4,319	4,819	4,654	4,798	4,625	4,578	4,497	4,352	4,383	4,400	4,361	4,108	3,583	3,321																																																																				
No.of Hospital Midwives			-	-	2,694	2,485	2,365	2,765	2,888	2,848	2,605	n.a.	2,823	2,773	3,016	2,828	2,555	2,371	2,668	3,154	2,794	2,723	2,596	2,503	2,410	2,284	2,393	2,288	2,214	2,172	2,025	1,776	1,638																																																																				
No.of Pharmacists			-	-	1,744	1,626	1,546	1,504	1,493	1,348	1,365	n.a.	1,217	1,084	959	886	n.a.	907	835	911	935	851	841																																																																														
No.of Dispensers			-	-	1,698	1,688	1,464	1,177	1,192	1,196	1,211	n.a.	1,193	1,071	949	989	n.a.	844	840	892	892	914	879																																																																														
No.of Medical Laboratory Technologists			-	-	1,843	1,724	1,566	1,554	1,465	1,483	1,478	n.a.	1,370	1,142	973	858	n.a.	905	882	871	900	873	779																																																																														
No.of Radiographers			-	-	632	610	607	588	649	578	588	n.a.	542	464	444	392	n.a.	350	332	342	371	335	290																																																																														
No.of Physiotherapists			-	-	624	618	500	519	452	385	381	n.a.	337	276	243	233	n.a.	289	289	219	224	202	199																																																																														
No.of ECG Recordists			-	-	377	359	315	298	271	297	392	n.a.	267	255	257	228	n.a.	162	174	158	163	160	151																																																																														
No.of EEG Recordists			-	-	97	97	89	66	65	59	65	n.a.	57	52	51	39	n.a.	70	29	37	38	23	20																																																																														
No.of School Dental Therapists			-	-	350	368	364	349	366	434	392	n.a.	323	311	335	402	n.a.	416	-	-	-	-	-																																																																														
No.of Medical Offices-Total			19,615	-	17,244	19,800	18,968	18,243	17,615	16,690	15,910	n.a.	14,388	13,874	12,479	11,023	10,279	10,198	8,874	9,063	9,290	8,384	7,963	6,994	6,427	5,628	5,117	4,577	4,047	3,713	3,345	2,934	-	-	2,316	-	2,217	-	1,951	-	2,035	-	2,055																																																										
No.of Nurses-Total			37,634	-	46,024	36,111	34,069	34,051	32,893	31,235	31,218	n.a.	32,680	31,198	23,800	22,370	18,950	19,934	18,654	16,621	16,517	15,797	14,716	14,052	14,448	13,815	13,933	13,403	13,060	11,818	11,214	9,934	-	-	8,317	-	8,019	-	7,400	-	6,931	-	6,123																																																										
Government sector western medicine-Hospitals				603	612	612	610	610	601	603	593	592	568	555	619	619	604	606	598	606	605	585	578	558	550	547	540	535	510	504	506	504	502	502	498	497	497	490	490	483	493	488	480	483	484	467	460	458	457	456	457	332	328	310	302	298	297	296	294	295	292	291	289	283	282	279	278	274	270	267	268	266	263	256	247																										
