sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
GDP-Current Prices (2002 Series)-Industry-Mining and Quarrying								236,567	214,234.96	183,933.90	152,112.50	112,385.50	89,226.10	79,204.40	71,768.00	56,645.00	46,202.00	35,931.50	30,129.40	25,523.00	19,887.50																																																																																
GDP-Current Prices (2002 Series)-Industry-Manufacturing-Processing (Tea, Rubber and Coconut)								75,793	74,873.14	69,623.71	62,618.60	53,384.00	45,707.02	38,354.26	32,260.80	21,553.20	17,715.00	16,199.00	15,810.00	14,147.00	13,560.00																																																																																
GDP-Current Prices (2002 Series)-Industry-Manufacturing-Factory Industry								1,768,315	1,586,927.00	1,402,353.30	1,233,234.00	1,084,255.70	916,407.40	795,031.50	720,979.46	605,544.00	516,372.00	434,969.50	351,517.40	303,459.90	270,266.00																																																																																
GDP-Current Prices (2002 Series)-Services								6,043,596	5,511,568.31	4,925,166.32	4,356,836.81	3,794,893.01	3,236,925.87	2,786,897.20	2,525,098.87	2,089,847.21	1,705,063.74	1,422,427.63	1,230,211.49	1,063,317.42	944,157.70																																																																																
GDP-Current Prices (2002 Series)-Services-Wholesale and Retail Trade								1,937,367	1,837,607.80	1,662,498.10	1,519,994.70	1,357,662.47	1,096,961.16	948,424.60	949,371.80	790,628.08	659,596.94	569,255.03	513,497.59	441,950.22	389,332.20																																																																																
GDP-Current Prices (2002 Series)-Services-Wholesale and Retail Trade-Import Trade								566,070	557,216.00	512,986.72	509,664.00	468,712.86	341,798.27	282,928.60	343,254.00	282,510.03	231,483.00	206,712.52	191,997.33	159,964.46	149,845.00																																																																																
GDP-Current Prices (2002 Series)-Services-Wholesale and Retail Trade-Export Trade								236,774	242,206.00	224,238.47	203,738.60	186,903.88	157,589.70	138,949.70	148,799.10	141,973.46	118,686.04	106,491.91	101,340.86	88,960.16	77,334.20																																																																																
GDP-Current Prices (2002 Series)-Services-Wholesale and Retail Trade-Domestic Trade								1,134,523	1,038,185.80	925,272.91	806,592.10	702,045.73	597,573.18	526,546.30	457,318.70	366,144.58	309,427.90	256,050.60	220,159.40	193,025.60	162,153.00																																																																																
GDP-Current Prices (2002 Series)-Services-Hotels and Restaurants								88,622	80,234.86	69,104.73	57,943.44	44,253.87	33,213.43	24,988.00	20,611.41	18,366.60	16,645.80	14,217.80	11,763.00	9,277.00	3,459.90																																																																																
GDP-Current Prices (2002 Series)-Services-Transport and Communication								1,407,542	1,318,017.76	1,162,668.80	988,688.08	818,386.04	709,399.66	599,933.80	530,980.00	423,819.80	344,909.40	287,490.80	240,306.70	200,702.20	173,744.60																																																																																
GDP-Current Prices (2002 Series)-Services-Transport and Communication-Transport								1,342,243	1,244,178.91	1,098,388.40	925,764.31	753,941.56	656,468.96	558,206.00	446,677.20	353,401.70	289,237.40	244,104.10	209,796.30	175,398.00	153,441.30																																																																																
GDP-Current Prices (2002 Series)-Services-Transport and Communication-Cargo Handling-Ports a								15,693	32,507.79	32,131.80	32,726.95	28,149.23	25,667.30	21,488.30	21,584.50	18,500.60	16,511.90	14,537.00	11,863.90	10,852.90	10,292.80																																																																																
GDP-Current Prices (2002 Series)-Services-Transport and Communication-Post and Telecommunica								49,605	41,331.07	32,148.60	30,196.82	36,295.25	27,263.40	20,239.50	62,718.30	51,917.50	39,160.10	28,849.70	18,646.50	14,451.30	10,010.50																																																																																
GDP-Current Prices (2002 Series)-Services-Banking, Insurance and Real Estate etc.								1,234,163	1,084,276.80	946,043.83	841,369.32	709,315.54	597,539.70	499,303.90	413,322.30	328,157.88	266,972.00	205,322.00	178,119.00	153,869.00	130,465.20																																																																																
GDP-Current Prices (2002 Series)-Services-Ownership of Dwellings								357,866	329,451.29	248,633.10	212,129.12	189,269.13	171,871.36	161,485.00	141,793.60	126,211.75	103,200.80	88,758.70	77,675.90	73,032.90	68,370.80																																																																																
GDP-Current Prices (2002 Series)-Services-Government Services								799,081	660,788.01	651,395.30	570,976.06	532,455.36	500,547.37	445,543.00	380,764.60	333,758.00	257,837.00	206,497.00	163,474.00	142,793.00	139,094.00																																																																																
GDP-Current Prices (2002 Series)-Services-Private Services								218,955	201,191.79	184,822.46	165,736.08	143,550.60	127,393.20	107,218.90	88,255.17	68,905.10	55,901.80	50,886.30	45,375.30	41,693.10	39,691.00																																																																																
GDP-Exp. at Current MP (2002 Series)-Consumption-Govt. Consumption Expenditure									1,317,831.50	1,137,291.32	1,021,443.00	967,702.00	872,610.00	851,549.00	713,787.77	546,545.00	451,438.00	321,037.00	264,069.00	221,622.00	208,085.00																																																																																
GDP-Current Prices (2002 Series)-Net Factor Income from Abroad								-251,287.70	-236,668.78	-226,086.20	-154,889.21	-72,040.51	-69,776.12	-55,795.20	-105,031.90	-39,054.30	-40,423.70	-30,049.00	-20,732.00	-16,535.00	-24,043.00																																																																																
GDP-Exp. at Current MP (2002 Series)-Consumption-PCE-Food, Beverages and Tobacco									2,259,878.00	2,139,803.55	1,989,008.50	1,847,418.40	1,446,641.00	1,191,097.00	1,163,894.00	984,151.50	820,305.00	662,163.00	614,288.00	597,368.00	557,445.00																																																																																
GDP-Exp. at Current MP (2002 Series)-Consumption-PCE-Clothing and Footwear									364,280.00	315,679.10	286,981.00	253,399.40	218,211.00	174,546.00	175,790.00	154,533.50	151,459.00	145,934.00	137,354.00	112,908.00	100,541.00																																																																																
GDP-Exp. at Current MP (2002 Series)-Consumption-PCE-Housing, Water, Electricity, Gas and ot									867,980.00	767,507.73	653,970.00	570,173.40	410,072.00	373,987.00	394,810.00	266,147.00	203,593.96	169,302.28	155,153.00	140,219.00	125,274.60																																																																																
GDP-Exp. at Current MP (2002 Series)-Consumption-PCE-Furnishings,Household Equipment and Rou									248,673.00	221,208.07	207,859.00	197,204.40	180,260.00	183,878.00	178,811.00	147,964.00	131,107.00	101,663.04	69,044.00	49,866.00	34,753.00																																																																																
GDP-Exp. at Current MP (2002 Series)-Consumption-PCE-Health									103,243.00	92,477.18	83,276.00	80,327.00	73,306.00	68,564.00	56,480.00	40,248.00	30,392.52	25,278.87	22,731.00	16,395.00	17,527.00																																																																																
GDP-Exp. at Current MP (2002 Series)-Consumption-PCE-Leisure, Entertainment and Culture									140,418.00	110,922.18	101,711.00	95,371.00	90,286.00	169,032.00	183,010.00	85,349.00	59,429.00	43,218.00	40,021.00	34,964.00	31,669.00																																																																																
GDP-Exp. at Current MP (2002 Series)-Consumption-PCE-Education									31,716.00	24,375.87	19,245.30	15,265.00	12,495.00	3,116.00	2,820.00	2,484.00	2,210.12	2,022.93	1,886.50	1,807.00	1,672.00																																																																																
GDP-Exp. at Current MP (2002 Series)-Consumption-PCE-Hotels, Cafes and Restaurants									150,433.00	113,720.29	87,786.00	58,336.00	48,478.00	46,749.00	45,350.00	38,630.00	35,798.37	29,567.90	26,422.00	24,568.00	20,682.00																																																																																
GDP-Exp. at Current MP (2002 Series)-Consumption-PCE-Miscellaneous Goods and Services									228,353.00	220,043.16	204,215.00	185,309.00	174,825.00	92,756.00	79,170.00	100,731.00	75,481.00	73,214.00	47,781.00	42,661.00	40,096.00																																																																																
GDP-Exp. at Current MP (2002 Series)-Consumption-PCE-Expenditure Abroad of Residents									836,791.00	715,090.00	585,226.40	426,593.00	338,286.67	250,977.00	236,946.00	214,395.19	182,950.42	167,389.80	157,352.00	131,624.60	115,522.60																																																																																
GDP-Exp. at Current MP (2002 Series)-Consumption-PCE-Expenditure of Non Residents									290,008.00	269,998.00	185,644.00	124,641.00	116,012.43	96,053.00	101,160.00	92,020.73	80,117.31	65,028.60	59,148.00	52,671.00	49,239.00																																																																																
