sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
GDP-Constant (2010) Prices-Industries-Water collection, treatment and supply			15,865.81	15,138.60	14,350.96	13,562.20	12,971.82	12,022.68	11,503.50	10,974.58	10,554.49	9,845.64	9,380.68																																																																																								
GDP-Constant (2010) Prices-Industries-Sewerage, Waste, treatment and disposal activities			32,078.09	32,402.84	30,207.21	28,315.66	25,539.50	21,681.27	17,354.86	15,510.91	14,571.57	12,140.96	11,712.33																																																																																								
GDP-Constant (2010) Prices-Services			5,595,468.64	5,678,484.70	5,555,324.64	5,313,434.87	5,127,615.53	4,894,717.01	4,618,501.31	4,405,644.48	4,245,460.78	3,817,154.81	3,504,322.85																																																																																								
GDP-Constant (2010) Prices-Services-Wholesale and retail trade			1,086,936.92	1,071,847.11	1,040,360.00	993,667.36	957,088.12	933,216.18	884,093.91	859,976.66	848,685.87	788,047.60	705,778.33																																																																																								
GDP-Constant (2010) Prices-Services-Transportation of goods and passengers including Warehousi			978,455.32	1,048,824.70	1,034,754.82	1,013,857.22	982,703.13	931,528.90	885,506.06	849,539.14	805,391.46	745,891.23	662,153.25																																																																																								
GDP-Constant (2010) Prices-Services-Postal and courier activities			4,974.75	4,751.74	4,485.11	4,424.71	4,259.53	4,052.25	4,055.92	4,364.29	4,441.34	4,068.06	4,066.45																																																																																								
GDP-Constant (2010) Prices-Services-Accommodation, Food and beverage service activities			89,451.93	147,670.89	154,794.13	146,432.26	139,442.88	134,016.88	131,480.54	126,392.03	134,159.62	105,371.90	87,692.75																																																																																								
GDP-Constant (2010) Prices-Services-Programming and broadcasting activities and audio video pr			2,702.47	2,639.30	2,519.07	2,803.82	2,830.53	2,623.71	2,513.22	2,422.35	2,251.62	2,177.58	2,525.89																																																																																								
GDP-Constant (2010) Prices-Services-Telecommunication			61,989.92	53,694.85	45,830.05	41,503.47	36,983.58	34,145.97	30,985.60	27,395.38	26,450.08	24,419.64	22,930.96																																																																																								
GDP-Constant (2010) Prices-Services-IT programming consultancy and related activities			18,751.66	17,044.07	15,071.79	13,564.41	13,014.83	12,147.53	10,578.73	9,692.76	7,971.81	7,215.87	6,193.57																																																																																								
