sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
GDP-Constant (2002) Prices-Agriculture								370,917	353,799.48	352,583.34	336,817.26	320,154.40	315,610.27	295,096.61	285,896.71	265,870.26	257,147.19	241,851.20	237,536.20	237,530.60	233,614.84																																																																																
GDP-Constant (2002) Prices-Agriculture-Tea								28,948	29,844.12	29,476.70	28,506.61	28,431.51	28,769.56	25,271.85	27,601.24	26,493.67	26,988.00	27,544.00	26,753.00	26,330.00	26,918.10																																																																																
GDP-Constant (2002) Prices-Agriculture-Rubber								3,804	4,117.83	6,083.22	6,693.25	7,118.53	6,982.78	6,197.62	5,743.40	5,204.90	4,993.00	4,772.60	4,332.00	4,208.00	4,139.60																																																																																
GDP-Constant (2002) Prices-Agriculture-Coconut								31,991	28,536.13	26,440.92	31,504.43	29,720.38	28,855.20	33,684.62	31,975.00	30,403.00	28,932.53	27,204.00	28,012.00	27,003.00	25,888.00																																																																																
GDP-Constant (2002) Prices-Agriculture-Minor Export Crops								10,753	10,609.80	12,479.97	11,507.15	12,113.88	14,954.53	11,028.04	10,478.00	10,706.13	10,187.00	9,966.00	8,569.30	8,780.40	8,229.10																																																																																
GDP-Constant (2002) Prices-Agriculture-Paddy								52,316	43,385.97	52,084.18	43,596.00	44,325.06	48,377.06	41,178.68	43,406.41	35,260.90	37,607.98	36,540.80	29,566.60	34,566.00	32,173.00																																																																																
GDP-Constant (2002) Prices-Agriculture-Livestock								30,241	28,015.25	27,174.55	25,555.78	24,028.93	22,396.70	21,760.84	20,494.70	19,414.62	17,992.00	16,643.90	16,269.70	16,188.80	15,981.00																																																																																
GDP-Constant (2002) Prices-Agriculture-Other Food Crops								127,125	124,761.63	116,546.34	111,722.12	102,378.30	99,994.00	95,799.11	89,536.00	85,503.00	81,937.04	79,587.30	75,524.00	73,006.70	72,532.40																																																																																
GDP-Constant (2002) Prices-Agriculture-Plantation Development								7,800	8,211.90	8,190.57	7,926.36	7,287.17	6,894.83	6,539.91	6,216.00	6,006.27	5,679.02	5,413.00	4,669.40	4,282.00	4,044.00																																																																																
GDP-Constant (2002) Prices-Agriculture-Firewood and Forestry								21,126	18,819.51	18,252.02	17,376.77	16,480.58	15,831.76	15,357.36	14,499.00	13,543.54	12,882.36	12,081.00	11,322.40	10,751.00	10,157.00																																																																																
GDP-Constant (2002) Prices-Agriculture-Other Agricultural Crops								12,635	12,100.50	12,405.63	11,534.75	10,839.47	10,146.45	9,390.19	8,930.96	8,749.13	8,688.56	8,253.10	8,227.80	8,243.50	7,861.04																																																																																
GDP-Constant (2002) Prices-Agriculture-Fishing								44,177	45,396.84	43,449.26	40,894.05	37,430.58	32,407.40	28,888.40	27,016.00	24,585.10	21,259.69	13,845.50	24,290.00	24,171.20	25,691.60																																																																																
GDP-Constant (2002) Prices-Industry								1,186,737	1,132,891.68	1,016,885.78	925,152.50	838,931.64	760,333.66	701,128.96	672,791.30	635,198.65	590,297.78	545,981.10	505,602.10	479,646.50	458,264.10																																																																																
GDP-Constant (2002) Prices-Industry-Mining and Quarrying								112,005	104,766.90	94,387.50	84,671.57	71,190.90	60,078.50	52,030.30	48,090.06	42,630.94	35,768.61	28,791.00	24,439.00	23,156.00	19,887.50																																																																																
GDP-Constant (2002) Prices-Industry-Manufacturing								628,807	604,676.75	559,843.10	520,937.87	494,990.03	458,660.41	427,334.39	413,680.84	394,232.74	370,355.25	350,886.00	330,459.00	314,203.50	302,365.00																																																																																
GDP-Constant (2002) Prices-Industry-Manufacturing-Processing (Tea, Rubber and Coconut)								17,324	17,976.55	17,146.69	17,043.20	16,005.78	15,868.36	14,995.45	14,896.60	14,149.80	13,817.84	13,703.00	13,509.00	12,926.50	13,560.00																																																																																
GDP-Constant (2002) Prices-Industry-Manufacturing-Factory Industry								576,597	553,101.20	509,932.42	472,720.77	449,176.50	414,924.50	385,927.08	373,214.50	355,610.78	333,371.70	315,276.00	296,349.00	281,787.00	270,266.00																																																																																
GDP-Constant (2002) Prices-Industry-Manufacturing-Cottage Industry								34,886	33,599.00	32,763.99	31,173.90	29,807.76	27,867.55	26,411.86	25,569.74	24,472.16	23,165.72	21,907.00	20,601.00	19,490.00	18,539.00																																																																																
GDP-Constant (2002) Prices-Industry-Electricity, Gas and Water								90,267	83,542.03	79,913.32	72,451.87	69,546.78	63,682.31	58,974.25	56,847.00	55,338.87	52,926.01	46,108.00	40,445.10	38,151.00	35,608.00																																																																																
GDP-Constant (2002) Prices-Industry-Electricity, Gas and Water-Electricity								79,796	74,608.90	71,619.90	64,352.17	61,722.06	56,291.00	52,016.85	50,184.00	48,302.77	46,182.65	39,757.00	34,189.10	32,142.00	29,775.00																																																																																
GDP-Constant (2002) Prices-Industry-Electricity, Gas and Water-Gas								7,066	5,660.30	5,180.54	5,100.31	4,855.00	4,593.00	4,280.00	4,062.00	4,524.60	4,398.86	4,087.00	4,092.00	3,904.00	3,765.00																																																																																
GDP-Constant (2002) Prices-Industry-Electricity, Gas and Water-Water								3,405	3,272.82	3,112.88	2,999.39	2,969.72	2,798.31	2,677.40	2,601.00	2,511.50	2,344.50	2,264.00	2,164.00	2,105.00	2,068.00																																																																																
GDP-Constant (2002) Prices-Industry-Construction								355,658	339,906.00	282,741.86	247,091.19	203,203.93	177,912.45	162,790.01	154,173.40	142,996.10	131,247.90	120,196.10	110,259.00	104,136.00	100,403.60																																																																																
GDP-Constant (2002) Prices-Services								2,147,910	2,019,972.75	1,896,572.21	1,783,318.12	1,704,604.85	1,569,598.00	1,452,988.16	1,406,813.10	1,331,587.08	1,243,118.84	1,153,839.16	1,084,459.16	1,016,045.28	944,157.70																																																																																
GDP-Constant (2002) Prices-Services-Hotels and Restaurants								28,971	28,675.92	25,715.31	21,029.23	17,500.86	13,844.61	9,900.60	8,741.00	9,199.30	9,411.10	9,185.60	10,690.80	8,801.50	3,459.90																																																																																
GDP-Constant (2002) Prices-Services-Banking, Insurance and Real Estate etc.								322,839	304,478.40	285,749.62	269,743.73	252,705.98	234,255.44	217,819.05	206,048.00	193,374.60	177,817.19	163,863.00	153,143.00	144,816.00	130,465.20																																																																																
GDP-Constant (2002) Prices-Services-Government Services								230,916	216,477.47	213,438.92	207,559.04	204,704.20	202,187.00	191,778.00	181,051.00	171,259.00	161,610.97	153,866.00	146,030.00	140,234.00	139,094.00																																																																																
GDP-Constant (2002) Prices-Gross Domestic Product								3,705,563	3,506,663.91	3,266,041.33	3,045,287.88	2,863,690.89	2,645,541.93	2,449,213.73	2,365,501.11	2,232,656.00	2,090,563.80	1,941,671.46	1,827,597.46	1,733,222.38	1,636,036.64																																																																																
GDP-Constant (2002) Prices-Net Factor Income from Abroad									-86,035.14	-85,126.51	-62,239.07	-31,528.86	-32,939.32	-28,261.86	-56,329.85	-24,365.02	-28,757.46	-23,787.00	-18,122.00	-15,725.00	-13,967.00																																																																																
GDP-Constant (2002) Prices-Gross National Income								3,618,211.00	3,421,846.00	3,180,910.00	2,983,048.00	2,832,162.00	2,612,603.00	2,420,951.87	2,309,171.26	2,208,290.64	2,061,806.30	1,917,884.00	1,809,475.00	1,717,497.00	863,281.00																																																																																
