sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Estimated Tea Production-Western			18.50	22	22.20	21.20	19.10	19.20	18.90	19.30	18.00	18.00	15.10	11.90	21.70	14.50	18.50	10.30																																																																																			
Estimated Tea Production-Central			89.90	94.90	97.00	92.80	95.40	107.60	109.20	109.70	106.70	108.00	104.00	92.00	96.90	92.40	94.50	107.80																																																																																			
Estimated Tea Production-Southern			68.40	79.60	79.40	84.70	77.20	89.90	96.80	97.90	93.60	92.80	94.50	81.60	91.00	89.10	90.40	88.70																																																																																			
Estimated Tea Production-Northern			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Estimated Tea Production-Eastern			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Estimated Tea Production-North Western			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Estimated Tea Production-North Central			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Estimated Tea Production-Uva			28.10	25.10	26.30	28.10	24.50	29.10	29.00	30.40	26.80	30.30	34.90	26.80	40.10	39.00	35.50	31.80																																																																																			
Estimated Tea Production-Sabaragamuwa			73.90	78.50	79.00	80.30	76.30	83.00	84.10	82.80	83.20	78.30	82.90	78.80	68.70	69.50	71.90	78.60																																																																																			
No. of Tea Factories-Western			29.00	39	38.00	37	36	32	34	33.00	53.00	32.00	31.00	51.00	50.00	47.00	20.00	23.00																																																																																			
No. of Tea Factories-Central			213.00	270	270.00	245	239	237	238	227.00	225.00	233.00	220.00	215.00	233.00	227.00	225.00	224.00																																																																																			
No. of Tea Factories-Southern			193.00	230	228.00	232	231	240	235	229.00	201.00	230.00	225.00	219.00	224.00	219.00	243.00	211.00																																																																																			
No. of Tea Factories-Northern			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
No. of Tea Factories-Eastern			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
No. of Tea Factories-North Western			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
No. of Tea Factories-North Central			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
No. of Tea Factories-Uva			64.00	71	71.00	70	68	64	67	65.00	67.00	61.00	68.00	79.00	87.00	88.00	89.00	72.00																																																																																			
No. of Tea Factories-Sabaragamuwa			121.00	140	140.00	140	138	141	140	142.00	119.00	139.00	131.00	107.00	113.00	111.00	112.00	123.00																																																																																			
No. of Tea Factories			620	750	747	724	712	714	714	696	665	695	675	671	707	692	689	653	669	839	823	803	706																																																																														
Estimated Rubber Production-Western			25.30	24	25.80	25.90	25.80	29.10	32.40	43.00	49.90	52.00	49.70	46.50	49.20	42.10	39.10	37.30																																																																																			
Estimated Rubber Production-Central			1.40	1.30	1.80	1.80	1.80	2.30	2.60	3.20	4.10	4.20	3.80	4.20	2.40	3.00	2.80	2.70																																																																																			
Estimated Rubber Production-Southern			2.80	4	6.60	6.90	6.80	7.80	8.70	11.60	13.40	13.90	12.20	10.40	11.50	9.40	8.70	8.40																																																																																			
Estimated Rubber Production-Northern			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Estimated Rubber Production-Eastern			0.10	0.10	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Estimated Rubber Production-North Western			1.50	1	1.60	1.70	1.70	2.00	2.30	2.60	3.40	3.60	4.00	3.40	1.80	2.30	2.10	2.10																																																																																			
Estimated Rubber Production-North Central			-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																			
Estimated Rubber Production-Uva			2.50	2.40	2.30	1.70	1.50	1.70	1.90	2.50	3.00	3.10	7.80	8.70	2.40	2.00	1.90	1.80																																																																																			
Estimated Rubber Production-Sabaragamuwa			44.50	42	44.40	45.00	41.40	45.60	50.70	67.40	78.20	81.40	75.40	63.60	61.90	58.70	54.50	52.10																																																																																			
Estimated Coconut Production-Central			167.00	160	145.00	126	178	161	154	125	143	156	136	128	132	118	115	126																																																																																			
Estimated Coconut Production-Eastern			158.00	168	166.00	98	121	103	104	64	93	60	50	92	95	86	84	77																																																																																			
