sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
government-sector-western-medicine-hospitals				603	612	612	610	610	601	603	593	592	568	555	619	619	604	606	598	606	605	585	578	558	550	547	540	535	510	504	506	504	502	502	498	497	497	490	490	483	493	488	480	483	484	467	460	458	457	456	457	332	328	310	302	298	297	296	294	295	292	291	289	283	282	279	278	274	270	267	268	266	263	256	247																										
government-sector-western-medicine-beds				77,964	76,824	76,774	76,829	76,781	76,918	74,636	73,437	69,731	69,501	68,897	65,835	62,197	62,749	61,937	60,328	61,808	59,781	58,833	58,423	55,436	53,737	52,635	52,613	52,528	50,091	48,949	48,061	42,437	42,079	44,721	44,454	45,019	45,706	43,856	43,877	43,078	42,257	42,275	42,902	41,015	40,331	39,879	39,838	39,568	38,767	38,443	38,172	38,521	37,753	36,845	36,069	35,684	33,461	33,802	33,065	32,312	32,813	29,935	29,816	27,860	27,512	26,403	25,470	24,312	23,135	21,371	20,826	20,299	19,959	19,809	18,949																										
government-sector-western-medicine-doctors				18,130	19,692	20,349	20,458	19,429	17,903	17,553	17,129	16,384	14,125	13,633	13,026	11,442	10,526	9,070	8,749	8,342	7,459	7,235	6,873	5,957	5,612	4,956	4,391	3,986	3,496	3,713	3,345	2,934	2,440	2,456	2,316	2,354	2,222	2,151	1,951	1,939	2,035	1,964	2,055	1,936	2,229	2,168	2,248	2,113	2,185	2,164	2,038	2,120	1,932	1,841	1,613	1,598	1,512	1,494	1,454	1,436	1,345	1,236	1,173	1,172	1,128	947	984	952	814	773	770	748	674	643	701																										
government-sector-western-medicine-nurses				38,276	34,714	34,221	32,499	32,272	31,964	30,928	30,136	29,101	27,494	25,549	22,996	22,088	20,912	20,332	17,316	16,711	16,139	15,061	14,931	14,052	14,463	14,399	13,846	13,310	13,060	11,818	11,214	9,934	8,957	9,486	8,317	7,843	7,983	8,091	7,401	7,112	6,931	6,805	6,834	6,638	5,938	5,640	5,782	5,685	5,288	6,234	4,955	5,003	5,542	4,734	4,382	3,999	3,499	3,642	3,435	4,422	3,270	3,547	3,232	3,129	2,767	2,587	2,304	2,210	1,996	1,827	1,633	1,553	1,165	1,079	907																										
government-sector-western-medicine-in-patients					7,116	n.a.	6,493	6,322	6,120	5,926	5,840	n.a.	5,591	5,474	4,898	4,609	4,463	4,345	4,242	3,993	4,032	4,092	4,015	3,826	3,797	3,453	3,339	2,953	3,204	3,174	3,023	2,629	2,533	2,524	2,543	2,772	2,590	2,494	2,543	2,503	2,465	2,258	2,334	2,425	2,174	2,188	2,282	2,146	1,926	2,038	2,052	2,007	2,054	2,080	1,945	1,764	1,785	1,642	1,615	1,667	1,609	1,427	1,392	1,355	1,278	1,353	1,145	1,043	913	905	843	849	846																												
government-sector-western-medicine-out-patients					57,410	n.a.	53,044	54,652	55,105	53,861	50,631	n.a.	49,871	48,782	45,382	43,073	41,429	42,483	43,392	43,765	45,681	43,350	43,329	41,325	41,071	39,503	35,348	32,084	35,276	36,892	36,827	28,575	28,401	31,781	31,407	34,139	32,561	29,570	31,908	30,720	31,696	30,439	31,892	33,921	32,197	28,926	30,295	27,654	23,157	23,641	32,433	34,771	34,895	36,752	34,752	31,704	27,235	26,738	26,168	26,267	26,250	24,485	23,218	25,110	21,445	21,245	20,634	17,632	15,416	13,947	13,289	11,989	11,500																												
government-sector-western-medicine-hospital-beds-per-1,000-persons				3.60	3.50	3.60	3.60	3.70	3.70	3.60	3.60	3.30	3.40	3.40	3.30	3.10	3.20	3.20	3.10	3.20	3.20	3.10	3.10	2.90	2.90	2.80	2.90	2.90	2.80	2.80	2.80	2.50	2.50	2.70	2.70	2.70	2.80	2.80	2.80	3.00	2.80	2.80	2.90	2.80	2.80	2.90	2.90	2.90	2.90	2.90	3.00	3.00	3.00	3.00	3.00	3.00	2.90	3.00	3.00	3.10	3.10	2.90	3.00	2.90	2.90	2.90	2.90	2.80	2.80	2.60	2.60	2.60	2.60	2.70	2.60																										
government-sector-western-medicine-persons-per-doctor				1,203	1,035	1,054	1,036	1,079	1,160	1,172	1,192	1,274	1,464	1,502	1,554	1,751	1,887	2,166	2,221	2,298	2,537	2,598	2,779	3,199	3,347	3,747	4,176	4,550	5,118	4,752	5,210	5,885	6,973	6,851	7,167	6,955	7,258	7,365	7,997	7,435	7,467	7,560	7,176	7,475	6,366	6,431	6,102	6,387	6,080	6,049	6,311	5,986	6,477	6,655	7,435	7,324	7,565	7,473	7,499	7,369	7,764	8,227	8,436	8,212	8,323	9,678	9,074	9,022	10,301	10,476	10,312	10,350	11,193	11,594	10,334																										
government-sector-western-medicine-nurses-per-10,000-persons				17.60	16.70	16.00	15.30	15.40	15.40	15.00	14.80	13.90	13.30	12.50	11.40	11.00	10.50	10.40	8.90	8.70	8.50	8.00	7.80	7.40	7.70	7.80	7.60	7.30	7.30	6.70	6.40	5.80	5.30	5.60	5.00	4.80	5.00	5.10	4.70	4.90	4.60	4.60	4.60	4.60	4.20	4.00	4.20	4.20	4.00	4.80	3.90	3.90	4.40	3.90	3.70	3.40	3.10	3.30	3.20	4.20	3.10	3.50	3.30	3.30	2.90	2.80	2.60	3	2	2	2	2	2	1	1																										
health-indicators-infant-mortality-per-1,000-live-births						-	-	8.50	-	8.20	-	-	10	10	9	9	10	11	10	11	11	13	13	13	14	16	17	17	17	16	18	17	19	18	20	23	23	24	27	28	31	30	34	38	37	42	44	45	51	46	46	45	50	53	50	48	54	53	55	56	53	52	57	58	64	68	67	71	72	71	78	82	82	87	92																										
