sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
Labour Statistics-Labour Force			8,467	8,592	8,388	8,567	8,311	8,214	8,049	8,034	7,798	7,926	8,108	8,074	8,082	7,489	7,599	8,141	8,061	7,654	7,145	6,773	6,827	6,673	6,660	6,266	6,242	6,106	6,079	6,032	5,808	5,877	6,001																																																																				
Labour Statistics-Household Population			16,739	16,424	16,196	15,844	15,449	15,282	15,134	14,959	14,858	14,976	16,862	16,578	16,320	15,048	14,834	16,871	16,593	15,649	14,201	13,870	13,565	13,169	12,882	12,871	12,831	12,736	12,493	12,278	12,058	11,796	11,574																																																																				
Labour Statistics-Employed Population			7,999	8,181	8,015	8,208	7,948	7,831	7,700	7,681	7,489	7,592	7,707	7,602	7,648	7,042	7,105	7,518	7,394	7,013	6,519	6,236	6,310	6,082	6,049	5,608	5,537	5,357	5,281	5,201	4,962	5,016	5,047																																																																				
Labour Statistics-Unemployed Population			468	411	373	359	363	383	348	353	310	335	401	471	434	447	493	623	667	641	626	537	517	591	611	658	705	749	798	831	846	862	954																																																																				
Labour Statistics-Labour Force Participation Rate-Sri Lanka			50.60	52.30	51.80	54.10	53.80	53.80	53.20	53.70	52.50	52.90	48.10	48.70	49.50	49.80	51.20	48.30	48.60	48.90	50.30	48.80	50.30	50.70	51.70	48.70	48.60	47.90	48.70	49.10	48.20	49.80	51.90																																																																				
Labour Statistics-Labour Force Participation Rate-Male			71.90	73.00	73.00	74.50	75.10	74.70	74.60	74.90	74.90	74.00	67.10	66.60	67.80	67.80	68.10	67.10	66.70	67.20	67.90	66.20	67.20	67.70	67.30	65.70	65.90	64.40	65.40	65.30	64.30	65.20	67.70																																																																				
Labour Statistics-Labour Force Participation Rate-Female			32.00	34.50	33.60	36.60	35.90	35.90	34.60	35.40	32.90	34.30	31.20	32.80	33.20	33.40	35.70	30.90	31.50	31.40	33.60	31.90	33.90	34.10	36.40	32.00	31.60	31.70	32.00	33.10	31.10	31.10	36.20																																																																				
Labour Statistics-Employment-Industrial Category-Agriculture			2,170	2,072	2,044	2,140	2,154	2,245	2,223	2,321	2,333	2,511	2,513	2,460	2,474	2,193	2,270																																																																																				
Labour Statistics-Employment-Industrial Category-Industry			2,153	2,258	2,239	2,331	2,098	2,018	2,027	1,997	1,941	1,820	1,865	1,905	2,003	1,871	1,888																																																																																				
Labour Statistics-Employment-Industrial Category-Services			3,677	3,850	3,732	3,737	3,696	3,568	3,450	3,363	3,215	3,261	3,319	3,215	3,151	2,963	2,927																																																																																				
Labour Statistics-Employment-Industrial Category-Agriculture (as a % of Employment)			27.10	25.30	25.50	26.10	27.10	28.70	28.90	30.20	31.20	33.10	32.60	32.50	32.40	31.20	32.00																																																																																				
Labour Statistics-Employment-Industrial Category-Industry (as a % of Employment)			26.90	27.60	27.90	28.40	26.40	25.80	26.30	26.00	25.90	24.00	24.20	25.10	26.30	26.60	26.70																																																																																				
Labour Statistics-Employment-Industrial Category-Services (as a % of Employment)			46.00	47.10	46.60	45.50	46.50	45.60	44.80	43.80	42.90	43.00	43.10	42.40	41.30	42.20	41.30																																																																																				
Labour Statistics-Unemployment-Level of Education-G.C.E.(O-L)			7.20	6.50	5.20	5.90	5.80	6.40	5.90	6.00	6.00	5.30	6.90	8.50	7.80	8.20	9.90	11.50	12.30	13.00	13.30	11.80	11.30	13.60	13.70	15.90	16.40	18.40	19.60	21.30	22.20	25.00	23.90																																																																				
Labour Statistics-Unemployment-Level of Education-G.C.E.(A-L) and Above			9.80	8.50	9.10	8.10	8.30	9.20	8.20	8.70	7.60	9.10	11.60	11.20	10.50	11.80	11.60	13.80	16.80	16.50	16.80	15.30	14.90	17.90	17.50	19.30	19.00	20.00	23.70	23.30	22.40	24.60	29.40																																																																				
Labour Statistics-Unemployment Rate-Male			4.00	3.30	3.00	2.90	2.90	3.00	3.10	3.20	2.80	2.70	3.50	4.30	3.70	4.30	4.70	5.50	6.00	6.00	6.60	6.20	5.80	6.70	6.50	7.70	8.20	9.00	9.70	9.70	10.70	10.20	11.80																																																																				
Labour Statistics-Unemployment Rate-Female			8.50	7.40	7.10	6.50	7.00	7.60	6.50	6.60	6.30	7.10	7.70	8.60	8.40	9.00	9.70	11.90	12.80	13.20	12.90	11.50	11.00	13.00	14.00	16.10	17.70	18.70	20.10	21.70	22.90	23.00	23.40																																																																				
Labour Statistics-Unemployment Rate-Sri Lanka			5.50	4.80	4.40	4.20	4.40	4.70	4.30	4.40	4.00	4.20	4.90	5.80	5.40	6.00	6.50	7.70	8.30	8.40	8.80	7.90	7.60	8.90	9.20	10.50	11.30	12.30	13.10	13.80	14.60	14.70	15.90																																																																				
