sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
gdp-constant-(2010)-prices-taxes-less-subsidies-on-products			837,491.46	910,242.38	889,166.19	894,131.86	866,726.87	815,666.51	758,521.36	709,801.46	715,011.21	698,664.19	655,564.17																																																																																								
gdp-exp.-at-constant-(2010)-prices-consumption-final-consumption-expenditure			7,556,275.80	7,739,402.00	7,453,372.60	7,224,405	7,036,082.26	6,584,691.13	6,109,434.97	5,881,197.14	5,496,156.33	5,355,453.63	4,932,545.04																																																																																								
gdp-exp.-at-constant-(2010)-prices-consumption-household-final-consumption-expenditure			6,847,474.10	7,060,275.20	6,852,511.20	6,591,380	6,362,682.06	5,926,299.01	5,512,176.85	5,317,617.92	4,933,104.18	4,824,505.30	4,390,215.11																																																																																								
gdp-exp.-at-constant-(2010)-prices-consumption-government-final-consumption-expenditure			708,801.70	679,126.80	600,861.30	633,025	673,400.20	658,392.12	597,258.12	563,579.22	563,052.15	530,948.33	542,329.93																																																																																								
gdp-exp.-at-constant-(2010)-prices-consumption-govt.-individual-consumption-expenditure			243,739.40	231,804.90	169,458.30	197,300	217,962.92	213,157.34	178,605.75	170,333.36	158,577.19	155,437.49	154,763.73																																																																																								
gdp-exp.-at-constant-(2010)-prices-gross-capital-formation-(gcf)			2,806,894.40	3,122,104.60	3,487,278.30	3,366,348	3,156,162.08	3,006,449.53	2,896,596.78	2,597,114.83	2,848,686.70	2,340,766.72	1,946,706.69																																																																																								
gdp-exp.-at-constant-(2010)-prices-gcf-gross-fixed-capital-formation			2,352,567.20	2,588,580.40	2,519,706.70	2,452,812	2,334,584.13	2,138,922.36	2,137,668.30	2,174,090.36	2,060,075.34	1,774,950.53	1,522,846.96																																																																																								
gdp-exp.-at-constant-(2010)-prices-gcf-changes-in-inventories			433,468.20	500,749.20	892,409.40	818,533	755,873.19	780,139.42	723,665.75	362,375.33	721,339.74	432,379.48	377,650.90																																																																																								
gdp-exp.-at-constant-(2010)-prices-gcf-acquisitions-less-disposal-of-valuables			20,859.00	32,775.00	75,162.10	95,003	65,704.76	87,387.75	35,262.73	60,649.15	67,271.61	133,436.72	46,208.83																																																																																								
gdp-exp.-at-constant-(2010)-prices-external-demand-net-external-demand			-832,564.50	-978,156.60	-1,275,272.20	-1,231,605	(1156414.40)	-943,307.40	-770,602.70	-632,109.97	-756,326.03	-743,500.35	-465,583.73																																																																																								
gdp-exp.-at-constant-(2010)-prices-external-demand-exports-of-goods-and-services			1,668,855.10	1,845,686.10	1,722,274.60	1,714,147	1,593,234.15	1,605,147.35	1,533,668.13	1,470,967.06	1,379,423.50	1,381,931.54	1,254,021.37																																																																																								
gdp-exp.-at-constant-(2010)-prices-external-demand-imports-of-goods-and-services			2,501,419.60	2,823,842.70	2,997,546.80	2,945,752	2,749,648.55	2,548,454.75	2,304,270.83	2,103,077.03	2,135,749.53	2,125,431.90	1,719,605.09																																																																																								
gdp-income-at-constant-(2010)-prices-other-taxes-less-subsidies-on-production			39,429	41,664	40,582	40,337	38,998	37,248.00	34,408.44	32,375.62	32,525.09	32,046.78	29,895.00																																																																																								
gdp-income-at-constant-(2010)-prices-nfc-other-taxes-less-subsidies-on-production			30,945	31,577	29,856	34,050	33,364	32,015.00	30,536.14	31,250.22	31,485.71	31,071.29	24,262.28																																																																																								
gdp-income-at-constant-(2010)-prices-fc-other-taxes-less-subsidies-on-production			8,368	9,926	10,555	6,172	5,528	5,130.00	3,778.27	1,096.51	1,012.31	949.37	5,479.79																																																																																								
gdp-income-at-constant-(2010)-prices-hh-&-npish-other-taxes-less-subsidies-on-production			116	161	170	114	107	103.00	94.03	28.89	27.07	26.12	152.93																																																																																								
gdp-growth-constant-(2010)-prices-agriculture,-forestry-and-fishing																																																																																																					
gdp-growth-constant-(2010)-prices-industries																																																																																																					
gdp-growth-constant-(2010)-prices-services																																																																																																					
gdp-growth-constant-(2010)-prices-taxes-less-subsidies-on-products																																																																																																					
gdp-growth-constant-(2010)-prices-gross-domestic-product																																																																																																					
