sub3	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
General Government Revenue-Tax Revenue				1,734,925	1,712,318	1,670,178	1,463,689	1,355,779	1,050,362	1,005,895	908,913	845,697	724,747	618,933	585,621	508,947	428,378	336,828	281,552	231,597	221,839	205,840	182,392																																																																														
General Government Revenue-Non-Tax Revenue				155,974	207,656	161,353	222,374	99,099	144,844	131,552	142,547	122,165	92,532	80,711	69,638	56,104	49,455	42,918	29,921	44,868	40,050	28,456	28,890																																																																														
General Government Revenue-Total Tax and Non Tax Revenue				1,890,899	1,919,973	1,831,531	1,686,062	1,454,878	1,195,206	1,137,447	1,051,460	967,862	817,279	699,644	655,259	565,051	477,833	379,746	311,473	276,465	261,888	234,296	211,282																																																																														
Total Expenditure on Higher Education			69,575	72,608	59,517	51,935	48,914	40,583	36,937	27,838	21,806	19,700	15,018	13,692	13,825	12,281	12,607	8,178	7,622	6,707	6,309	6,384	5,411	4,995	5,127	4,386	3,434	2,914	259'7	2,581	2,351	1,470																																																																					
Capital Expenditure on Higher Education			12,756	15,377	15,201	14,578	14,719	9,735	11,200	6,183	4,941	3,788	2,666	2,648	3,233	3,129	2,816	2,133	1,384	1,173	1,097	1,439	1,464	1,353	1,519	1,331	970	630	548	772	966	390																																																																					
Recurrent Expenditure on Higher Education			56,819	57,231	44,316	37,357	34,195	30,848	25,737	21,655	16,865	14,307	12,352	11,044	10,592	11,775	9,791	6,045	7,622	5,534	5,212	4,945	3,947	3,642	3,608	3,056	2,464	2,284	2,049	I809	l385	1,080																																																																					
Government expenditure on education as a per cent of GDP					1.90	1.94	2.00	2.06	1.84	1.58	1.56	1.68	1.63	2.08	2.27	2.59	2.67	2.59	2.03	2.15	2.35	2.01	2.46	2.65	2.62	2.51	2.65	2.83	3.06	2.82	2.95	2.45	2.97	3.23	2.88	2.47	2.80	2.74	2.02	2.33	2.50	2.38	2.77	2.65	2.67	2.68	3.02	2.66	2.89	3.60	5.16	4.15	3.53	3.49	4.01	4.06	4.20	4.44	4.59	4.43	4.43	4.33	4.40	3.94	3.59	3.41	3.50	3	3	3	3	2	3																												
Government expenditure on health as a per cent of GDP				1.60	1.50	1.48	1.56	1.62	1.34	1.25	1.13	1.24	1.15	1.48	1.69	1.92	1.97	1.83	1.65	1.51	1.57	1.33	1.65	1.41	1.42	1.36	1.56	1.64	1.59	1.41	1.54	1.40	1.54	1.84	1.77	1.72	1.25	1.29	1.14	1.68	1.14	1.18	2.02	1.92	1.63	1.37	1.65	1.55	1.53	1.78	2.54	2.09	2.14	2.12	2.06	2.09	2.07	2.06	2.05	2.15	2.24	2.24	2.24	2.32	2.33	2.28	2.30	1.87	1.81	1.81	1.82	1.40	1.52																												
General Governmnet Expenditure-Recurrent Expenditure				2,301,155	2,089,713	1,927,693	1,757,782	1,701,658	1,322,898	1,205,180	1,131,023	1,024,906	937,094	879,575	743,710	622,758	547,960	443,350	389,679	334,694	330,847	303,361	254,279																																																																														
General Governmnet Expenditure-Capital Expenditure				614,136	603,515	645,363	576,101	588,175	459,855	454,303	400,082	377,812	302,087	277,416	232,607	206,162	162,213	140,154	83,807	75,089	58,595	67,902	67,769																																																																														
General Governmnet Expenditure-Total Expenditure				2,915,291	2,693,228	2,573,056	2,333,883	2,290,394	1,795,865	1,669,396	1,556,499	1,433,182	1,280,205	1,201,927	996,126	841,604	713,646	584,783	476,907	417,673	402,990	386,518	335,823																																																																														
External Debt Statistics (EDS)-Outstanding Total External Debt			49,211.62	54,811.50	52,411.81	51,603.94	46,585.70	44,839.40	42,914.10	39,905.30	37,098.10																																																																																										
EDS-General Government-short term			3.57	118.56	59.58	166.73	79.73	33.41	398.80	507.30	576.00																																																																																										
EDS-General Government-long term			28,182.97	34,130.47	31,951.81	31,188.24	27,117.67	24,647.41	23,733.30	21,782.80	21,547.40																																																																																										
EDS-Central Bank-short term			342.84	456.49	432.49	595.82	536.15	482.68	443.10	290.80	232.30																																																																																										
EDS-Central Bank-long term			2,347.58	1,861.63	1,542.17	1,328.60	1,485.55	2,340.21	1,820.70	2,664.80	3,318.10																																																																																										
EDS-Deposit Taking Corporations-short term			5,507.20	5,518.83	5,352.60	5,140.37	5,247.09	5,762.46	4,746.60	3,883.60	3,701.00																																																																																										
EDS-Deposit Taking Corporations -long term			1,150.12	1,478.03	2,006.64	3,570.67	3,543.36	3,393.39	3,386	2,874.70	1,214.80																																																																																										
EDS-Other Sectors-short term			2,340.86	2,155.99	2,184.40	1,930.14	1,483.23	1,374.56	1,674.40	2,088.50	1,909.70																																																																																										
EDS-Other Sectors -long term			4,335.36	4,313.12	4,472.50	4,351.61	4,291.11	4,192.14	4,167.10	3,712.60	2,823.30																																																																																										
EDS-Direct Investment-Intercompany Lending			5,001.12	4,778.38	4,409.62	3,331.77	2,801.82	2,613.14	2,544	2,100.20	1,775.60																																																																																										
