sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
analysis-of-revenue-collection-of-provincial-councils-licence-fee-vehicles-western			4,600.00	4,319	4,245.00	3,988	3,869	3,751	3,325	2,931	2,373	2,078	1,806	1,594	1,487	1,115	1,039	972	884	812	703	n.a.	676	653																																																																													
analysis-of-revenue-collection-of-provincial-councils-licence-fee-vehicles-central			950.00	985	963.00	901	851	806	674	628	467	438	339	315	211	189	213	180	139	132	110	n.a.	103	27																																																																													
analysis-of-revenue-collection-of-provincial-councils-licence-fee-vehicles-southern			1,250.00	1,237	1,252.00	1,176	612	945	785	671	516	376	331	282	198	248	177	130	137	135	102	n.a.	96	92																																																																													
analysis-of-revenue-collection-of-provincial-councils-licence-fee-vehicles-northern			380.00	379	378.00	324	305	283	219	189	-	-	-	-	-	-	-	-	-	-	-	n.a.	-	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-licence-fee-vehicles-eastern			550.00	524	496.00	464	455	335	337	281	197	215	72	-	-	-	-	-	-	-	-	n.a.	-	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-licence-fee-vehicles-north-western			1,372.00	1,441	1,397.00	1,295	1,234	1,131	953	851	647	544	463	502	332	250	219	188	162	147	121	n.a.	118	95																																																																													
analysis-of-revenue-collection-of-provincial-councils-licence-fee-vehicles-north-central			731.00	631	604.00	570	535	488	392	350	421	284	215	178	109	147	90	81	73	58	38	n.a.	40	105																																																																													
analysis-of-revenue-collection-of-provincial-councils-licence-fee-vehicles-uva			700.00	464	452.00	420	387	347	278	246	179	141	120	144	64	61	4	50	43	38	31	n.a.	29	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-licence-fee-vehicles-sabaragamuwa			780.00	791	768.00	712	672	626	517	440	343	285	242	248	95	156	125	106	87	77	67	n.a.	62	54																																																																													
analysis-of-revenue-collection-of-provincial-councils-licence-fee-vehicles-total			11,313	9,732	10,554	9,849	8,921	8,711	7,480	6,588	5,142	4,362	3,588	3,262	2,337	2,168	1,918	1,707	1,525	1,399	1,172	1,125	-	1,061	983	871	825																																																																										
analysis-of-revenue-collection-of-provincial-councils-profit-and-dividends-western			-	-	-	-	-	-	-	-	-	-	757	1,511	2,057	1,646	844	503	421	359	204	n.a.	121	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-profit-and-dividends-central			-	-	-	-	-	-	-	-	-	-	72	77	69	74	70	69	61	57	-	n.a.	0.79	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-profit-and-dividends-southern			-	-	-	-	-	-	-	-	-	-	38	68	48	47	52	38	36	29	29	n.a.	39	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-profit-and-dividends-northern			-	-	-	-	-	-	-	-	-	-	20	19	16	12	-	-	-	-	-	n.a.	-	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-profit-and-dividends-eastern			-	-	-	-	-	-	-	-	-	-	57	31	18	16	-	-	-	-	-	n.a.	-	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-profit-and-dividends-north-western			-	-	-	-	-	-	-	-	-	-	138	215	170	93	48	42	35	29	32	n.a.	31	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-profit-and-dividends-north-central			-	-	-	-	-	-	-	-	-	-	61	152	44	67	68	54	56	36	35	n.a.	40	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-profit-and-dividends-uva			-	-	-	-	-	-	-	-	-	-	10	45	33	27	48	53	41	34	14	n.a.	13	-																																																																													
analysis-of-revenue-collection-of-provincial-councils-profit-and-dividends-sabaragamuwa			-	-	-	-	-	-	-	-	-	-	109	70	48	25	24	25	68	21	19	n.a.	15	-																																																																													
