sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
analysis-of-revenue-collection-of-provincial-councils-turnover-tax-western						10.00	6	8.00	16	29	42	57	76	87	2,186	13,153	10,248	10,713	8,837	6,395	5,406	4,416	3,694	3,026	n.a.	2,728	2,453																																																																										
analysis-of-revenue-collection-of-provincial-councils-turnover-tax-central						-	4	2.00	3	5	8	10	16	46	417	1,683	1,511	1,295	1,059	576	483	438	396	315	n.a.	279	75																																																																										
analysis-of-revenue-collection-of-provincial-councils-turnover-tax-southern						-	2	1.00	1	2	3	8	17	29	381	1,632	1,402	1,949	1,121	581	411	365	315	277	n.a.	228	211																																																																										
analysis-of-revenue-collection-of-provincial-councils-turnover-tax-northern						-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	n.a.	-	-																																																																										
analysis-of-revenue-collection-of-provincial-councils-turnover-tax-eastern						-	-	-	-	-	-	-	-	-	246	459	-	-	-	-	-	-	-	-	n.a.	-	-																																																																										
analysis-of-revenue-collection-of-provincial-councils-turnover-tax-north-western						4.00	7	8.00	4	3	1	1	1	2	194	1,136	1,009	882	737	417	356	283	251	200	n.a.	177	268																																																																										
analysis-of-revenue-collection-of-provincial-councils-turnover-tax-north-central						?	1	1.00	1	1	9	14	3	11	117	556	516	471	372	219	167	132	132	106	n.a.	103	163																																																																										
analysis-of-revenue-collection-of-provincial-councils-turnover-tax-uva						?	-	1.00	3	2	2	203	4	8	115	528	454	364	323	176	157	130	121	96	n.a.	78	-																																																																										
analysis-of-revenue-collection-of-provincial-councils-turnover-tax-sabaragamuwa						-	1	-	1	2	384	205	-	5	961	839	691	592	513	261	222	183	154	122	n.a.	110	96																																																																										
analysis-of-revenue-collection-of-provincial-councils-turnover-tax-total								21	29	44	448	498	117	188	4,617	19,986	15,831	15,310	12,126	8,626	7,202	5,947	5,063	4,142	3,705	-	3,361	2,980	2,734	2,464																																																																							
analysis-of-revenue-collection-of-provincial-councils-stamp-duty-western						21,965.00	18,956	21,523.00	19,869	20,252	16,887	13,709	10,640	10,050	9,775	4,548	3,637	3,828	4,161	4,075	3,276	2,734	2,363	1,514	n.a.	1,016	959																																																																										
analysis-of-revenue-collection-of-provincial-councils-stamp-duty-central						1,855.00	2,418	2,660.00	2,410	2,590	2,212	1,797	1,492	1,516	1,302	482	404	377	373	365	-	260	223	124	n.a.	121	17																																																																										
analysis-of-revenue-collection-of-provincial-councils-stamp-duty-southern						2,605.00	2,807	2,798.00	2,659	2,766	2,158	1,721	1,449	1,267	828	502	350	591	378	320	288	278	208	104	n.a.	94	90																																																																										
analysis-of-revenue-collection-of-provincial-councils-stamp-duty-northern						1,317.00	1,366	1,245.00	404	530	481	398	331	325	-	-	-	-	-	-	-	-	-	-	n.a.	-	-																																																																										
analysis-of-revenue-collection-of-provincial-councils-stamp-duty-eastern						1,023.00	1,039	968.00	950	959	793	656	647	313	133	110	-	-	-	-	-	-	-	-	n.a.	-	-																																																																										
analysis-of-revenue-collection-of-provincial-councils-stamp-duty-north-western						2,510.00	2,719	2,708.00	2,586	2,723	2,255	709	615	1,491	899	671	562	565	584	503	420	323	280	175	n.a.	159	109																																																																										
analysis-of-revenue-collection-of-provincial-councils-stamp-duty-north-central						785.00	628	606.00	721	736	589	368	417	429	270	41	48	23	27	22	17	14	11	12	n.a.	7	143																																																																										
analysis-of-revenue-collection-of-provincial-councils-stamp-duty-uva						1,010.00	808	804.00	761	841	699	597	460	457	126	96	69	65	70	62	45	35	33	17	n.a.	18	-																																																																										
analysis-of-revenue-collection-of-provincial-councils-stamp-duty-sabaragamuwa						1,610.00	1,689	772.00	1,083	1,149	926	653	686	688	653	263	181	165	179	165	135	118	90	59	n.a.	53	47																																																																										
analysis-of-revenue-collection-of-provincial-councils-stamp-duty-total								34,083	31,443	32,547	27,000	20,607	16,739	16,538	13,987	6,712	5,250	5,384	5,523	5,512	4,181	3,762	3,208	2,005	1,468	-	1,372	1,267	1,051	1,036																																																																							
analysis-of-revenue-collection-of-provincial-councils-total-revenue-western						32,673.00	44,922	47,109.00	44,498	41,203	35,607	31,092	25,522	26,104	24,517	23,144	18,145	18,970	16,984	12,658	10,959	9,105	7,819	5,954	n.a.	5,063	4,719																																																																										
analysis-of-revenue-collection-of-provincial-councils-total-revenue-central						3,830.00	7,836	7,922.00	7,382	6,874	6,027	5,229	4,344	4,298	4,045	2,986	2,700	2,206	2,035	1,301	1,272	1,077	978	624	n.a.	574	194																																																																										
analysis-of-revenue-collection-of-provincial-councils-total-revenue-southern						8,294.00	8,795	8,494.00	8,171	6,630	6,104	5,274	4,441	4,253	2,160	2,924	2,507	3,202	2,150	1,172	1,082	1,031	828	626	n.a.	559	477																																																																										
analysis-of-revenue-collection-of-provincial-councils-total-revenue-northern						2,600.00	4,377	4,006.00	3,583	3,115	2,219	1,866	1,529	1,360	81	73	51	37	-	-	-	-	-	-	n.a.	-	-																																																																										
analysis-of-revenue-collection-of-provincial-councils-total-revenue-eastern						2,390.00	3,921	3,839.00	3,699	3,316	2,705	2,368	2,205	1,671	825	900	74	45	-	-	-	-	-	-	n.a.	-	-																																																																										
analysis-of-revenue-collection-of-provincial-councils-total-revenue-north-western						5,430.00	8,878	8,553.00	8,092	7,383	6,384	5,720	4,699	4,882	4,370	2,949	2,630	2,209	2,065	1,211	1,242	1,077	978	624	n.a.	574	194																																																																										
analysis-of-revenue-collection-of-provincial-councils-total-revenue-north-central						2,586.00	3,879	3,961.00	3,822	3,592	2,818	2,112	2,326	2,168	1,971	1,171	1,011	761	926	418	414	359	318	244	n.a.	226	540																																																																										
analysis-of-revenue-collection-of-provincial-councils-total-revenue-uva						4,795.00	3,679	3,707.00	3,487	3,287	2,727	2,637	2,109	1,997	661	975	862	638	626	375	397	321	286	213	n.a.	194	35																																																																										
analysis-of-revenue-collection-of-provincial-councils-total-revenue-sabaragamuwa						3,375.00	5,057	4,030.00	4,242	4,186	3,381	2,835	2,474	2,504	2,360	1,705	1,420	1,057	1,139	601	691	571	457	344	n.a.	305	266																																																																										
analysis-of-revenue-collection-of-provincial-councils-total-revenue								91,621	86,976	79,585	67,972	59,134	49,648	49,235	40,991	36,826	29,400	27,430	24,809	19,480	15,794	13,523	11,564	8,673	7,536	-	6,993	5,940	5,394	4,883																																																																							
