sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
banking-sector-total-capital-adequacy-ratio-(car)			16.50	16.50	15.10	16.40	15.60	15.40	16.60	17.60	16.40	16.00	16.20	16.10	14.50	14.10	13.30	13.40	11.40	11.90	12.30	10.50	10.40	12.80	12.60																																																																												
banking-sector-specific-provision-coverage-ratio			51.70	42.40	43.10	49.60	52.10	46.90	39.70	32.50	41.40	46.00	45.30	42.80	47.60	55.30	61.20	65.80	63.80	56.10	48.10	41.60	48.20	45.70	42.60																																																																												
banking-sector-return-on-equity-(roe)-–-after-tax			11.30	10.30	13.20	17.60	17.30	16.20	16.60	16.00	20.30	19.80	22.00	11.80	13.40	14.00	15.20	16.40	18.10	21.80	19.10	13.70	11.90	-1.00	14.00																																																																												
banking-sector-return-on-assets-(roa)–-before-tax			1.40	1.40	1.80	2.00	1.90	1.90	2.00	1.90	2.40	2.40	2.70	1.80	1.90	1.90	1.90	1.90	1.70	1.70	1.40	1.00	1.00	0.30	1.40																																																																												
banking-sector-return-on-assets-(roa)-–-after-tax			1.00	0.90	1.10	1.40	1.40	1.30	1.40	1.30	1.70	1.70	1.80	1.00	1.10	1.10	1.20	1.20	1.30	1.40	1.10	0.70	0.60	-0.10	1.00																																																																												
banking-sector-staff-cost-to-operating-expenses			46.40	44.60	44.10	46.50	44.90	45.50	43.50	44.90	45.80	44.20	45.20	46.50	44.50	44.20	43.80	40.10	41.90	44.60	46.70	47.10	47.40	48.90	44.60																																																																												
banking-sector-statutory-liquid-asset-ratio-(slar)-–-domestic-banking-unit-(dbu)			37.30	31.00	27.60	31.30	30.00	33.90	39.50	37.70	31.30	32.40	36.60	39.20	31.30	30.40	30.40	31.70	33.80	32.20	33.00	31.90	29.00	31.40	29.40																																																																												
banking-sector-total-assets			14,666,264	12,522,707	11,793,992	10,292,397	9,046,583	8,077,474	6,971,832	5,941,473	5,098,219	4,252,234	3,550,515	3,013,256	2,697,450	2,504,201	2,142,164	1,780,955	1,463,994	1,265,310	1,099,219	1,018,905	944,451	779,520	703,179																																																																												
banking-sector-specific-provision-for-bad-and-doubtful-advances			231,749	161,769	113,483	79,726	74,150	71,619	65,683	62,080	48,335	45,686	48,522	58,041	49,174	43,706	44,439	46,546	47,782	46,628	41,806	37,632	34,395	31,396	23,420																																																																												
banking-sector-risk-weighted-assets			7,665,631	7,143,742	6,882,513	5,712,808	5,053,814	4,291,298	3,498,306	2,942,133	2,599,731	2,268,964	1,814,957	1,526,980	1,571,384	1,357,133	1,131,032	858,852	717,435	605,379	465,866	443,050	442,112	402,174	364,000																																																																												
banking-sector-time-deposits			7,022,132	6,092,544	5,564,926	4,704,310	3,812,449	3,079,517	2,704,034	2,637,792	2,221,236	1,713,124	1,374,357	1,249,748	1,057,020	918,240	704,967	554,113	460,619	386,173	330,223	299,264	247,841	213,942	198,953																																																																												
banking-sector-savings-deposits			3,153,233	2,344,128	2,170,786	2,032,338	1,858,107	1,729,595	1,461,611	1,117,773	1,006,403	979,664	863,125	709,169	585,099	573,693	542,333	511,522	447,740	378,776	325,228	283,185	253,728	227,248	191,529																																																																												
banking-sector-other-deposits			271,872	196,841	212,749	166,347	145,801	147,571	139,691	117,407	127,903	99,455	81,113	73,200	69,948	74,248	64,083	42,246	42,194	39,890	49,812	43,718	35,341	31,408	31,346																																																																												
banking-sector-operating-expenses-(non-interest-expenses)			252,159	264,348	254,224	204,673	197,224	178,492	160,184	141,969	133,506	117,442	105,849	96,507	88,952	75,437	67,077	52,775	47,298	42,243	36,145	33,986	30,697	24,675	23,707																																																																												
banking-sector-staff-cost			117,117	117,815	112,141	95,088	88,613	81,225	69,630	63,727	61,118	51,860	47,819	44,860	39,596	33,332	29,357	23,946	22,353	20,898	17,198	16,084	15,326	12,599	11,045																																																																												
banking-sector-provision-for-bad-and-doubtful-debts-and-loan-write-offs-(net)			83,503	61,167	41,315	20,247	19,804	25,646	22,502	26,279	14,365	4,971	2,375	26,437	16,579	11,532	8,713	7,667	10,664	12,352	8,877	7,348	6,642	10,654	5,267																																																																												
banking-sector-profit-before-tax			188,870	171,740	194,679	194,398	164,522	139,858	126,486	104,488	116,778	94,077	89,968	52,210	50,424	44,134	37,089	29,958	23,307	20,709	14,705	9,805	8,409	2,433	9,961																																																																												
banking-sector-profit-after-tax			135,267	111,056	125,903	138,468	116,005	97,124	88,005	74,595	82,666	65,846	59,191	27,268	27,756	25,353	22,797	19,972	17,325	16,912	11,587	7,027	5,576	-480	6,796																																																																												
banking-sector-total-number-of-banks			30	32	33	32	32	32	34	33	33	33	31	36	36																																																																																						
banking-sector-total-number-of-branches			3,619	3,604	3,572	3,546	3,604	3,539	3,536	3,437	3,356	3,225	2,965	2,740	2,569																																																																																						
banking-sector-number-of-other-banking-outlets-matara			111	111	130	130	130	130	130	130	130	129	129	129	129																																																																																						
banking-sector-number-of-other-banking-outlets-monaragala			119	119	70	70	70	70	70	70	70	70	70	70	70																																																																																						
banking-sector-number-of-other-banking-outlets-mulativu			21	21	7	7	7	7	7	7	7	7	7	7	7																																																																																						
banking-sector-number-of-other-banking-outlets-nuwara-eliya			99	99	102	102	102	102	102	101	101	89	88	88	88																																																																																						
banking-sector-number-of-other-banking-outlets-polonnaruwa			133	132	97	97	97	97	97	97	97	97	97	97	97																																																																																						
banking-sector-number-of-other-banking-outlets-puttalam			108	108	113	113	113	113	113	113	113	113	113	113	113																																																																																						
banking-sector-number-of-other-banking-outlets-ratnapura			197	197	149	149	149	149	149	149	149	149	148	148	148																																																																																						
banking-sector-number-of-other-banking-outlets-trincomalee			111	111	60	60	60	60	60	60	57	57	57	57	57																																																																																						
banking-sector-number-of-other-banking-outlets-vavuniya			71	71	26	26	26	26	26	26	26	26	26	26	26																																																																																						
banking-sector-total-number-of-atms			6,176	5,571	5,019	4,419	0	0	0	0	0	0	0	0	0																																																																																						
