sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
banking-sector-non-performing-loans-(npls)-to-equity-capital-&-reserves															35.40	36.90	34.50	35.70	38.90	39.50	37.60	33.80	35.00	34.10	31.10	25.54	27.10	24.36	22.34	18.50	20.40	20.90	21.40	20.10	22.00	22.50	23.50	24.00	28.50	30.20	30.20	29.10	34.20	40.70	41.70	39.00	36.10	33.10	30.30	26.80	28.70	27.90	27.70	26.80	30.60	34.20	36.90	36.30	43.00	47.40	55.80	55.80	58.50	59.50	55.30	47.20	46.60	45.40	42.00																																																																																																																																																																																																																																																																																																																																												
banking-sector-specific-provision-coverage-ratio															56.40	52.50	55.10	51.70	45.90	43.30	40.80	42.40	38.20	38.50	37.40	43.13	38.77	41.70	42.77	49.60	48.60	48.00	47.60	52.10	46.90	47.30	44.90	46.90	39.40	37.60	37.60	39.70	33.50	29.60	30.40	32.50	34.20	35.20	35.60	41.40	40.20	42.50	43.40	46.00	43.60	42.90	42.70	45.30	40.60	38.50	41.90	42.80	37.50	38.60	41.50	47.60	45.10	46.80	50.30																																																																																																																																																																																																																																																																																																																																												
banking-sector-return-on-equity-(roe)-–-after-tax															15.10	16.50	16.20	11.30	10.90	10.40	10.20	10.30	10.50	10.10	10.30	13.15	14.08	14.80	17.19	17.60	17.50	18.10	16.50	17.30	17.60	16.40	13.70	16.20	16.20	16.00	16.40	16.60	16.50	15.30	16.10	16.00	16.60	18.00	23.30	20.30	20.50	20.00	21.10	19.80	19.70	19.30	18.90	22.00	23.60	27.20	14.90	11.80	14.70	14.80	11.20	13.40	13.70	14.50	13.10																																																																																																																																																																																																																																																																																																																																												
banking-sector-return-on-assets-(roa)–-before-tax															1.70	1.80	2.00	1.40	1.30	1.30	1.30	1.40	1.50	1.40	1.50	1.77	1.84	1.87	2.04	2.00	2.00	2.00	1.90	1.90	1.90	1.80	1.60	1.90	1.90	1.90	2.00	2.00	2.00	1.80	1.90	1.90	2.00	2.10	2.60	2.40	2.50	2.50	2.60	2.40	2.40	2.30	2.40	2.70	3.00	3.20	2.20	1.80	2.10	2.10	1.70	1.90	1.90	2.00	1.80																																																																																																																																																																																																																																																																																																																																												
banking-sector-return-on-assets-(roa)-–-after-tax															1.30	1.40	1.40	1.00	1.00	0.90	0.90	0.90	0.90	0.90	0.90	1.14	1.20	1.25	1.42	1.40	1.40	1.40	1.30	1.40	1.40	1.30	1.10	1.30	1.30	1.30	1.40	1.40	1.40	1.30	1.30	1.30	1.40	1.50	2.00	1.70	1.70	1.70	1.80	1.70	1.60	1.60	1.60	1.80	1.90	2.20	1.20	1.00	1.20	1.20	0.90	1.10	1.10	1.20	1.10																																																																																																																																																																																																																																																																																																																																												
banking-sector-non-interest-income-to-average-assets															1.10	1.20	1.40	1.00	1.10	1.20	1.20	1.10	1.10	1.10	1.00	1.34	1.30	1.27	1.41	1.30	1.30	1.30	1.20	1.20	1.20	1.20	1.20	1.30	1.30	1.30	1.30	1.50	1.60	1.50	1.60	1.50	1.50	1.60	1.90	1.60	1.70	1.90	2.10	1.60	1.60	1.50	1.60	2.10	2.20	2.40	1.90	2.10	2.10	2.10	2.00	2.10	2.00	2.10	1.80																																																																																																																																																																																																																																																																																																																																												
banking-sector-profit-before-tax-(pbt)-to-average-assets															1.70	1.80	2.00	1.40	1.30	1.30	1.30	1.40	1.50	1.40	1.50	1.77	1.84	1.87	2.04	2.00	2.00	2.00	1.90	1.90	1.90	1.80	1.60	1.90	1.90	1.90	2.00	2.00	2.00	1.80	1.90	1.90	2.00	2.10	2.60	2.40	2.50	2.50	2.60	2.40	2.40	2.30	2.40	2.70	3.00	3.20	2.20	1.80	2.10	2.10	1.70	1.90	1.90	2.00	1.80																																																																																																																																																																																																																																																																																																																																												
banking-sector-specific-loan-loss-provisions															281,356	262,713	247,608	231,749	217,251	202,331	176,760	161,769	147,854	140,923	121,088	113,500.21	101,984.12	94,927.31	85,954.92	79,726	82,347	78,238	74,293	74,150	70,517	71,133	68,723	71,619	70,408	68,418	66,517	65,683	63,517	62,926	64,265	62,080	58,895	53,919	48,848	48,335	48,620	47,749	47,120	45,686	46,415	46,795	47,732	48,522	48,630	49,291	58,124	58,041	52,754	53,458	51,734	49,174	45,602	45,033	43,939																																																																																																																																																																																																																																																																																																																																												
banking-sector-other-assets															431,964	415,034	371,280	372,459	417,240	447,364	379,974	371,053	362,954	334,025	324,407	342,790.84	304,660.13	290,774.01	272,700.70	259,376	256,296	247,371	229,880	229,090	218,608	195,535	187,160	190,220	195,743	190,206	175,481	191,260	177,838	198,520	187,839	213,549	216,678	192,306	169,956	160,874	161,536	157,532	140,480	101,966	102,580	103,029	86,883	83,719	101,599	99,998	90,239	88,711	98,101	99,945	93,152	88,035	102,918	86,554	100,171																																																																																																																																																																																																																																																																																																																																												
banking-sector-non-performing-advances-(npls)-special-mentioned-category															12.70	15.50	10.20	10.30	12.20	12.90	17.40	14.80	18.30	22.00	24.70	18.71	22.76	23.27	23.88	15.30	17.50	18.00	17.40	15.10	16.40	16.30	15.80	12.60	14.10	17.00	18.50	14.40	18.00	21.50	20.30	16.80	20.70	20.80	20.30	15.50	16.60	15.70	16.60	13.10	17.00	19.60	18.90	15.60	17.60	19.20	25.30	17.80	20.80	26.20	26.40	33.50	24.30	27.60	23.00																																																																																																																																																																																																																																																																																																																																												
