sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
banking-sector-total-capital-adequacy-ratio-(car)															16.20	16.30	16.60	16.50	16.50	16.40	16.30	16.50	16.70	16.50	16.00	15.08	15.86	15.99	15.74	15.20	15.10	15.00	14.90	15.60	14.10	14.70	15.00	15.40	15.20	16.00	16.30	17.20	16.90	16.90	17.00	16.30	15.80	16.10	16.00	16.40	15.00	14.80	14.90	16.00	14.60	14.80	15.10	16.20	15.50	15.80	15.70	16.20	14.60	14.50	14.00	14.30	13.10	13.30	13.30																																																																																																																																																																																																																																																																																																																																												
banking-sector-total-provision-coverage-ratio															66.80	62.30	65.20	61.30	55.60	53.80	50.40	52.30	48.10	48.50	48.80	57.44	52.33	56.59	59.03	69.90	67.20	66.80	66.80	71.80	64.50	64.30	61.20	62.30	51.60	48.40	48.10	50.70	41.90	36.80	37.70	40.40	43.30	44.90	45.40	53.40	50.90	54.00	54.30	57.10	55.00	54.50	54.50	58.10	53.80	50.20	52.30	53.00	47.40	48.90	51.80	60.90	55.90	56.90	60.40																																																																																																																																																																																																																																																																																																																																												
banking-sector-total-loans-and-advances-to-total-assets															62.80	63.00	63.70	62.00	63.70	64.30	64.80	64.90	64.60	64.30	65.30	65.23	64.45	64.04	63.00	62.50	61.80	62.00	61.60	61.20	59.80	59.70	59.00	58.40	58.30	57.30	56.90	55.90	54.70	54.50	55.90	57.70	57.20	59.20	60.30	61.80	61.70	60.90	61.00	61.20	58.50	57.20	55.60	55.60	53.40	54.40	53.60	53.00	54.10	56.40	58.60	60.60	59.10	60.60	60.30																																																																																																																																																																																																																																																																																																																																												
banking-sector-staff-expenses-to-non-interest-expenses															45.40	46.60	46.80	46.40	46.30	46.20	40.40	44.60	44.40	44.40	43.80	44.11	44.97	45.21	44.75	46.50	46.20	46.70	45.10	44.90	45.40	44.80	39.90	45.50	45.60	46.60	45.60	43.50	44.20	44.60	45.10	44.90	46.10	46.50	47.30	45.80	45.70	43.40	44.50	44.20	44.30	45.20	44.40	45.20	46.10	46.50	45.70	46.50	46.90	47.10	44.70	44.50	44.00	43.90	43.40																																																																																																																																																																																																																																																																																																																																												
banking-sector-total-cost-to-total-income															70.10	69.40	69.50	75.70	76.80	76.60	78.90	77.80	77.90	78.30	79.30	76.83	76.78	76.74	76.02	76.30	76.50	76.20	77.70	75.60	75.80	76.00	78.40	73.10	73.80	73.90	73.70	75.90	77.70	80.40	80.40	79.30	79.20	79.00	76.80	75.20	74.30	73.80	71.70	74.10	72.40	73.00	73.90	72.00	70.70	70.10	74.20	78.00	78.30	78.60	81.60	79.80	79.80	79.50	81.00																																																																																																																																																																																																																																																																																																																																												
banking-sector-total-income-to-average-assets															8.60	9.00	9.40	9.60	9.90	10.40	11.00	11.20	11.40	11.50	11.50	11.42	11.48	11.52	11.71	11.20	11.30	11.40	11.30	10.10	9.90	9.80	9.80	9.20	9.40	9.50	9.80	10.40	10.60	10.60	11.20	12.10	12.50	12.90	13.40	12.00	11.70	11.60	11.50	10.70	10.70	10.60	10.70	12.10	12.50	12.80	12.50	14.80	14.80	14.90	14.40	15.30	14.70	14.60	14.30																																																																																																																																																																																																																																																																																																																																												
banking-sector-statutory-liquid-asset-ratio-(slar)-–-domestic-banking-unit-(dbu)															34.40	37.50	38.00	37.30	38.80	35.90	32.80	31.00	30.50	31.30	29.30	27.58	28.81	30.16	31.23	31.30	31.10	30.70	30.20	29.90	30.20	29.90	31.30	33.90	34.40	37.20	36.50	39.50	40.40	40.70	40.20	37.70	36.40	33.60	32.90	31.30	30.90	31.40	31.60	32.40	33.80	35.50	36.00	36.60	38.90	38.60	39.30	39.20	38.60	34.70	31.40	31.30	29.90	30.30	30.30																																																																																																																																																																																																																																																																																																																																												
banking-sector-statutory-liquid-assets-ratio-(slar)-–-offshore-banking-unit-(obu)															32.50	38.00	40.50	43.20	44.00	41.00	37.60	47.10	47.40	42.50	43.60	45.39	44.47	43.34	33.11	34.60	34.80	33.60	36.60	35.30	38.00	39.80	38.70	40.00	36.40	35.50	37.00	33.60	34.40	37.40	37.10	34.70	39.40	32.40	35.10	32.10	33.60	32.40	31.90	30.90	38.90	43.20	43.00	51.30	40.40	40.30	40.10	46.60	51.50	50.20	41.30	41.90	42.30	52.20	42.10																																																																																																																																																																																																																																																																																																																																												
banking-sector-total-assets															16,494,020	15,857,283	15,329,698	14,666,264	14,028,052	13,367,792	13,166,233	12,522,707	12,154,683	11,901,511	11,746,894	11,793,986.82	11,273,123.18	10,847,443.59	10,675,171.42	10,292,611	10,041,264	9,765,394	9,492,622	9,046,583	8,703,147	8,451,555	8,354,274	8,077,474	7,706,381	7,347,376	7,170,012	6,971,832	6,577,256	6,256,997	6,086,504	5,941,473	5,795,331	5,522,043	5,370,074	5,098,219	4,916,215	4,819,946	4,586,176	4,252,234	4,014,787	3,864,990	3,687,701	3,550,515	3,361,673	3,179,906	3,081,768	3,013,256	2,941,202	2,843,718	2,775,655	2,697,450	2,703,013	2,653,005	2,573,678																																																																																																																																																																																																																																																																																																																																												
banking-sector-total-loan-loss-provisions															333,129	311,286	292,809	274,439	263,239	251,310	218,416	199,586	186,065	177,651	158,198	151,147.13	137,653.90	128,823.80	118,629.13	112,236	113,725	108,955	104,275	102,148	97,044	96,695	93,675	95,245	92,231	88,109	85,049	83,893	79,523	78,156	79,718	77,233	74,674	68,712	62,311	62,242	61,586	60,707	58,900	56,686	58,515	59,400	61,031	62,217	64,452	64,366	72,574	71,837	66,550	67,797	64,575	62,846	56,476	54,775	52,775																																																																																																																																																																																																																																																																																																																																												
