sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
banking-sector-net-non-performing-loans-(npls)-to-equity-capital-&-reserves															15.40	17.50	15.50	17.20	21.10	22.40	22.30	19.50	21.60	21.00	19.50	14.52	16.60	14.20	12.79	9.30	10.50	10.90	11.20	9.60	11.70	11.80	12.90	12.80	17.30	18.90	18.80	17.60	22.80	28.70	29.00	26.30	23.80	21.50	19.50	15.70	17.20	16.10	15.70	14.50	17.30	19.50	21.20	19.90	25.60	29.20	32.40	31.90	36.50	36.50	32.30	24.70	25.50	24.20	20.80																																																																																																																																																																																																																																																																																																																																												
banking-sector-gross-non-performing-advances-ratio-(gross-npls-ratio)-(non-performing-loans-to-total-loans-and-advances)															4.80	5.00	4.60	4.90	5.30	5.40	5.10	4.70	4.90	4.80	4.20	3.42	3.62	3.28	2.99	2.50	2.70	2.70	2.70	2.60	2.90	3.00	3.10	3.20	4.00	4.30	4.30	4.20	5.30	6.20	6.20	5.60	5.20	4.70	4.20	3.70	4.00	3.80	3.90	3.80	4.50	4.90	5.50	5.40	6.70	7.40	8.40	8.50	8.80	8.60	7.70	6.30	6.30	6.00	5.60																																																																																																																																																																																																																																																																																																																																												
banking-sector-net-non-performing-advances-ratio-(net-npls-ratio)-(net-non-performing-loans-to-total-loans-and-advances)															2.20	2.40	2.10	2.40	2.90	3.20	3.10	2.80	3.10	3.00	2.70	1.97	2.25	1.94	1.73	1.30	1.40	1.40	1.40	1.20	1.60	1.60	1.70	1.70	2.40	2.70	2.70	2.60	3.60	4.50	4.40	3.80	3.50	3.10	2.80	2.20	2.40	2.20	2.20	2.10	2.60	2.90	3.20	3.00	4.10	4.70	5.10	5.00	5.70	5.50	4.60	3.40	3.60	3.30	2.90																																																																																																																																																																																																																																																																																																																																												
banking-sector-foreign-currency-denominated-loans-to-total-loans-and-advances															18.50	19.30	19.40	19.80	20.40	21.40	21.90	20.10	20.20	19.60	19.30	19.97	19.27	18.94	18.89	18.30	18.40	19.00	18.60	18.10	17.70	18.30	19.00	19.90	19.90	20.40	20.60	21.00	19.60	19.10	18.10	18.20	18.30	18.30	18.30	17.80	18.40	19.30	18.00	17.30	16.30	17.50	17.20	17.20	16.70	17.20	18.20	17.60	17.10	17.10	18.50	20.00	20.40	23.60	23.30																																																																																																																																																																																																																																																																																																																																												
banking-sector-investments-to-total-assets															27.50	28.20	28.40	28.80	26.90	25.40	24.10	24.20	24.20	24.20	22.60	22.87	23.41	24.26	24.68	25.00	25.90	26.10	26.00	25.30	27.70	28.60	29.40	29.30	30.20	31.10	29.40	28.00	29.20	29.80	29.90	28.90	29.20	27.10	24.80	24.30	24.20	25.10	25.50	25.40	28.70	30.10	30.90	31.00	33.00	33.30	33.00	31.50	30.20	28.90	27.30	25.70	25.30	22.70	23.00																																																																																																																																																																																																																																																																																																																																												
banking-sector-net-interest-income-(nii)-to-gross-income															75.90	74.10	70.80	75.00	74.50	73.60	73.30	76.50	76.50	76.60	78.70	72.92	73.71	74.38	72.40	73.60	73.10	72.70	74.40	74.70	75.30	75.40	75.00	73.20	73.00	74.50	74.60	69.30	68.20	67.90	66.60	69.60	70.50	69.50	66.40	71.40	70.40	68.70	66.30	73.10	73.20	73.60	73.00	69.00	67.30	66.00	71.30	68.80	67.90	67.00	67.20	67.90	67.20	66.30	69.60																																																																																																																																																																																																																																																																																																																																												
banking-sector-non-interest-expenses-(operating-expenses)-to-gross-income															42.40	41.10	41.20	44.40	45.20	44.10	50.30	47.00	47.10	47.50	49.30	46.62	46.05	45.79	44.90	44.20	44.30	44.20	47.30	48.40	49.20	50.50	56.20	49.10	50.00	49.90	49.90	50.20	51.80	55.20	54.10	50.30	49.80	49.20	45.90	48.40	48.10	49.60	47.20	52.00	51.60	52.40	51.90	48.80	46.00	45.10	49.80	50.90	49.90	49.80	55.50	52.50	52.10	51.70	54.00																																																																																																																																																																																																																																																																																																																																												
banking-sector-net-interest-income-(nii)-to-average-assets-(net-interest-margin)															3.40	3.50	3.40	3.10	3.10	3.20	3.40	3.60	3.60	3.60	3.70	3.61	3.64	3.68	3.69	3.50	3.50	3.50	3.60	3.60	3.50	3.60	3.60	3.60	3.60	3.70	3.80	3.50	3.30	3.20	3.20	3.50	3.70	3.70	3.80	4.10	4.10	4.10	4.10	4.20	4.20	4.20	4.20	4.60	4.60	4.60	4.60	4.60	4.40	4.30	4.00	4.40	4.20	4.10	4.10																																																																																																																																																																																																																																																																																																																																												
banking-sector-non-interest-expenses-to-average-assets															1.90	1.90	2.00	1.90	1.90	1.90	2.30	2.20	2.20	2.30	2.30	2.31	2.28	2.26	2.29	2.10	2.10	2.10	2.30	2.30	2.30	2.40	2.70	2.40	2.50	2.50	2.60	2.50	2.50	2.60	2.60	2.50	2.60	2.60	2.60	2.80	2.80	3.00	2.90	3.00	3.00	3.00	3.00	3.20	3.10	3.10	3.20	3.40	3.20	3.20	3.30	3.40	3.20	3.20	3.20																																																																																																																																																																																																																																																																																																																																												
banking-sector-net-profit-loss-to-average-assets															1.30	1.40	1.40	1.00	1.00	0.90	0.90	0.90	0.90	0.90	0.90	1.14	1.20	1.25	1.42	1.40	1.40	1.40	1.30	1.40	1.40	1.30	1.10	1.30	1.30	1.30	1.40	1.40	1.40	1.30	1.30	1.30	1.40	1.50	2.00	1.70	1.70	1.70	1.80	1.70	1.60	1.60	1.60	1.80	1.90	2.20	1.20	1.00	1.20	1.20	0.90	1.10	1.10	1.20	1.10																																																																																																																																																																																																																																																																																																																																												
