sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
sector-cash-and-bank-balances												2,617.82	5,113.93	4,643.53	4,725.50	4,517.84	1,897.14	2,221.04	1,811.46	2,117.40	1,505.66	2,544.95	2,626	2,625	4,659	3,575	3,471	3,583	3,929	3,514	27,512.85	25,615.05	14,214.63	7,500.98	6,144.23	5,048.75	6,238.56	5,968.40	5,505.84	4,681.93	3,766.10	5,054.65	4,426.73	5,046.65	5,582.27	4,545.34	4,548.72																																																																																																																																																																																																																																																																																																																																																																		
sector-investments												142.82	164.12	178.94	221.66	217.14	212.53	263.36	258.48	254.95	263.35	316.94	410	731	458	482	459	456	444	445	984.50	800.55	6,135.85	5,716.87	5,258.94	5,147.60	2,682.63	3,131.12	2,645.47	2,558.76	2,383.51	1,622.09	3,904.18	5,356.35	5,189.83	7,284.39	4,556.38																																																																																																																																																																																																																																																																																																																																																																		
sector-loans-and-advances-(net)												2,687.87	31,967.43	32,167.66	29,812.54	28,574.07	28,540.25	29,249.65	29,653.04	31,401.47	32,449.72	35,496.43	36,185	36,971	38,423	40,124	41,001	40,607	39,584	38,491	94,480.97	92,397.61	88,267.74	86,403.22	84,420.96	79,446.88	74,712.78	71,430.05	68,566.47	63,405.84	57,336.73	52,426.10	59,900.90	55,388.87	51,998.06	50,397.05	49,831.38																																																																																																																																																																																																																																																																																																																																																																		
sector-leasing												1,292.84	32,604.51	32,082.30	30,410.17	29,392.67	28,335.82	28,300.65	29,121.20	30,156.08	30,452.19	32,961.60	33,330	33,851	35,012	36,726	37,004	36,615	35,831	34,874	55,466.41	55,651.41	54,642.91	54,070.05	54,515.95	52,542.40	51,594.36	50,260.19	50,910.70	48,344.64	44,738.27	41,053.84	43,642.26	41,144.23	39,482.91	38,415.27	38,100.12																																																																																																																																																																																																																																																																																																																																																																		
sector-hire-purchase												15.94	15.15	15.06	14.99	15.51	15.94	18.77	20.66	24.06	23.89	24.53	25	26	30	35	40	47	57	66	101.80	127.50	181.95	218.39	266.90	321.38	376.38	423.19	502.79	594.20	669.17	736.72	3,049.55	3,158.96	3,078.76	3,032.83	3,018.89																																																																																																																																																																																																																																																																																																																																																																		
sector-loans												1,900.58	3,332.20	3,444.03	3,298.74	3,274.35	3,498.89	3,457.02	3,820.16	3,826.37	3,924.53	4,195.87	4,399	4,390	4,824	4,638	4,897	4,808	4,541	4,228	40,839.82	38,212.49	35,092.86	33,360.21	30,914.59	27,911.64	24,089.89	21,924.66	18,357.18	15,621.99	13,101.89	11,620.59	14,997.20	13,153.72	11,739.58	11,030.78	10,914.57																																																																																																																																																																																																																																																																																																																																																																		
sector-pawning-advances												319.06	258.17	188.26	164.54	151.28	145.99	135.93	117.16	94.14	91.46	108.79	73	66	61	57	43	44	37	33	17.25	7.06	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.27	1.30	1.30	1.66																																																																																																																																																																																																																																																																																																																																																																		
sector-fixed-assets												697.54	1,102.14	1,098.54	628.68	517.58	595.06	619.01	632.69	639.90	653.80	584.52	517	534	547	555	607	608	611	788	1,716.02	1,669.92	1,664.58	1,670.58	1,799.45	1,790.89	1,796.24	1,727.24	1,629.56	1,708.23	1,522.97	1,485.88	1,703.33	1,291.02	1,312.72	1,203.58	1,170.01																																																																																																																																																																																																																																																																																																																																																																		
sector-capital-account												4,120.55	15,110.45	15,478.60	14,322.74	18,223.16	15,942.56	15,998.28	15,423.74	15,365.79	14,696.41	15,692.43	15,323	14,933	14,495	14,303	14,480	14,071	13,544	13,302	28,046.24	27,059.22	26,047.13	25,057.59	24,257.15	23,309.18	22,596.37	22,082.51	20,548.67	19,956.32	18,309.85	17,428.85	19,678.36	18,513.58	17,737.62	17,159.43	16,173.13																																																																																																																																																																																																																																																																																																																																																																		
sector-non-interest-income-*												34.30	228.33	1,196.04	866.07	425.50	162.25	591.61	363.62	174.90	86.08	964.02	728	498	218	900	678	442	206	934	1,764.33	1,136.55	516.76	1,733.54	1,194.39	756.84	346.45	1,547.52	1,134.40	756.27	361.26	1,183.32	1,005.98	620.35	296.57	1,224.79	888.41																																																																																																																																																																																																																																																																																																																																																																		
sector-non-interest-expenses-(opearating-cost)-*												152.53	581.18	2,184.11	1,645.06	1,055.75	720.27	2,786.75	1,989.92	1,260.11	603.19	3,182.65	2,477	1,675	827	3,208	2,399	1,566	767	2,795	7,062.21	4,516.32	2,061.36	7,227.06	5,225.69	3,384.21	1,438.62	5,250.39	3,530.72	2,257.16	1,059.23	3,465.02	3,017.59	1,937.01	923.57	3,279.44	2,411.88																																																																																																																																																																																																																																																																																																																																																																		
sector-loan-loss-provision-*												148.49	275.53	386.29	746.48	1,054.81	608.53	1,553.81	1,472.27	809.49	949.99	1,367.07	1,075	768	313	732	391	219	113	466	998.46	507.97	307.61	641.63	557.91	334.50	263.02	828.15	705.41	517.75	310.54	1,592.59	1,091.85	848.21	219.72	1,406.52	996.54																																																																																																																																																																																																																																																																																																																																																																		
sector-borrowings-to-equity												0.47	1.51	1.35	1.35	0.78	0.93	0.98	1.06	1.21	1.36	1.44	1.56	1.69	1.97	2.03	2.04	2.09	2.10	2.08	3.09	3.10	2.94	2.79	2.68	2.58	2.51	2.43	2.52	2.38	2.32	2.14	2.25	2.35	2.40	2.51	2.50																																																																																																																																																																																																																																																																																																																																																																		
