sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
sector-total-assets-(net)												6,290.23	39,276.11	38,366.26	35,655.54	34,104.79	32,321.91	33,541.38	33,717.33	35,913.47	36,411.96	41,056.62	41,928	42,912	46,001	46,623	47,590	47,108	46,248	44,932	127,500.39	123,341.51	112,854.07	103,626.27	99,760.90	93,353.49	87,458.08	83,709.95	80,778.53	74,947.34	66,839.01	62,169.98	71,741.12	69,628.04	66,404.51	65,644.29	62,235.56																																																																																																																																																																																																																																																																																																																																																																		
sector-real-estate												10.38	184.77	191.37	216.52	339.96	365.87	360.52	-	-	-	0.26	1	1	1	1	2	3	4	8	14.26	21.41	22.83	25.97	27.37	28.97	30.58	34.54	39.36	38.85	41.96	45.49	48.38	52.37	73.27	75.26	80.12																																																																																																																																																																																																																																																																																																																																																																		
sector-trading-stocks												-	36.23	12.16	23.25	62.18	60.92	21.86	24.64	23.68	36.30	40.38	40	24	45	10	12	11	13	16	19.92	91.48	66.09	23.83	24.80	128.88	113.11	64.99	525.97	792.80	190.82	95.84	135.09	482.89	519.73	545.77	520.24																																																																																																																																																																																																																																																																																																																																																																		
sector-total-liabilities												6,290.23	39,276.12	38,366.26	35,655.54	34,104.79	32,321.91	33,541.38	33,717.33	35,913.47	36,411.96	41,056.62	41,928	42,912	46,001	46,623	47,590	47,108	46,248	44,932	127,500.39	123,341.51	112,854.07	103,626.27	99,760.90	93,353.49	87,458.08	83,709.95	80,778.53	74,947.34	66,839.00	62,169.98	71,741.12	69,628.04	66,404.51	65,644.28	62,235.56																																																																																																																																																																																																																																																																																																																																																																		
sector-total-borrowings												1,715.55	19,063.28	20,852.09	19,404.53	14,170.33	14,774.82	15,637.68	16,322.25	18,567.89	19,940.83	22,659.23	23,878	25,219	28,495	29,049	29,610	29,408	28,507	27,610	86,699.16	83,800.89	76,482.66	69,840.09	65,015.90	60,230.15	56,811.80	53,637.70	51,828.78	47,440.74	42,389.61	37,371.47	44,276.46	43,499.71	42,526.61	43,155.67	40,415.68																																																																																																																																																																																																																																																																																																																																																																		
sector-total-provisions-and-interest-in-suspense												936.80	4,512.94	3,860.17	4,399.49	4,707.02	3,929.40	3,121.02	3,523.99	2,797.04	2,150.60	1,902.87	1,752	1,474	1,616	1,454	1,105	1,029	1,005	826	2,065.42	1,729.11	1,780.93	1,374.90	1,404.90	1,458.55	1,479.47	1,313.58	1,345.56	1,295.76	1,316.48	1,127.26	1,941.50	2,220.71	2,476.72	2,249.55	2,375.07																																																																																																																																																																																																																																																																																																																																																																		
sector-tier-i:-eligible-core-capital												3,909.51	13,048.08	12,906.73	12,889.56	17,873.26	14,550.35	14,719.81	14,795.16	14,908.04	13,142.65	13,700.88	13,899	13,906	12,475	12,500	13,048	13,035	11,209	11,019	25,438.12	24,439.54	22,071.91	20,275.02	20,739.36	20,744.88	20,829.54	16,322.07	16,080.32	16,599.90	16,378.23	12,413.87	14,746.24	14,710.37	14,706.17	12,918.77	12,904.67																																																																																																																																																																																																																																																																																																																																																																		
sector-tier-ii:-eligible-supplementary-capital												(52.13)	353.19	352.19	332.91	323.41	329.07	333.15	338.42	355.99	360.66	381.02	384	269	299	305	-	32	78	75	1,426.70	1,575.86	1,547.93	1,469.92	637.15	733.88	736	727.50	0	0	0	0	0	0	0	0	8.74																																																																																																																																																																																																																																																																																																																																																																		
sector-total-regulatory-capital-base												3,857.37	13,401.27	13,258.91	13,222.47	18,196.67	14,879.42	15,052.96	15,133.57	15,264.03	13,503.31	14,081.90	14,283	14,175	12,774	12,805	13,048	13,068	11,286	11,094	26,864.82	26,015.40	23,619.83	21,744.94	21,376.51	21,478.76	21,565.54	17,049.57	16,080.32	16,599.90	16,378.23	12,413.87	14,746.24	14,710.37	14,706.17	12,918.77	12,913.41																																																																																																																																																																																																																																																																																																																																																																		
sector-total-interest-income-*												366.75	1,784.52	6,609.97	4,597.62	2,868.46	1,621.14	7,607.82	5,662.58	3,787.60	1,997.03	9,891.52	7,496	5,075	2,527	10,043	7,440	4,901	2,389	9,202	18,829.65	12,203.25	5,856.94	20,557.53	14,891.24	9,491.97	4,554.53	16,178.52	11,746.58	7,606.68	3,478.73	12,252.97	10,617.70	6,971.96	3,239.91	12,324.81	9,031.44																																																																																																																																																																																																																																																																																																																																																																		
sector-total-interest-expenses-*												87.66	828.32	1,254.17	837.64	495.82	254.18	1,608.85	1,352.46	1,046.74	558.41	3,102.70	2,461	1,743	928	3,680	2,721	1,768	866	2,749	7,322.83	4,827.22	2,350.53	7,951.36	5,703.70	3,545.53	1,745.37	4,710.71	3,315.38	1,987.27	910.24	3,322.90	3,388.03	2,353.60	1,220.06	5,343.66	4,077.51																																																																																																																																																																																																																																																																																																																																																																		
sector-profit-for-the-period-(before-taxation)-*												12.37	327.83	3,981.44	2,234.52	687.58	200.41	2,251.05	1,211.55	846.15	(28.47)	3,203.13	2,210	1,387	677	3,323	2,607	1,789	849	4,125	5,210.48	3,488.30	1,654.21	6,471.04	4,598.33	2,984.57	1,453.97	6,937.38	5,329.48	3,600.77	1,559.98	5,055.78	4,126.21	2,453.48	1,173.14	3,519.97	2,433.91																																																																																																																																																																																																																																																																																																																																																																		
sector-profit-for-the-period-(after-tax)-*												1.66	83.02	2,254.21	1,124.67	85.36	(57.81)	1,071.10	378.45	325.94	(319.31)	1,701.66	1,148	758	318	1,673	1,359	946	427	2,328	3,274.92	2,205.75	1,049.49	4,249.17	3,022.24	1,987.95	940.34	4,777.82	3,726.61	2,558.95	1,113.24	3,672.32	2,943.10	1,732.45	844.86	2,469.60	1,669.17																																																																																																																																																																																																																																																																																																																																																																		
