sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
investments															951,361	916,450	886,532	845,182	739,789	705,249	659,023	630,943	588,597	568,513	556,181	542,983.34	537,810.12	590,992.16	580,124.27	568,634	563,371	549,026	532,385	535,397	543,262	525,968	536,744	534,610	539,382	559,774	544,068	539,714	535,405	493,108	487,157	477,137	472,379	374,319	364,879	352,982	343,840	346,439	343,640	343,867	338,381	339,999	341,475	319,727	312,853	299,076	291,355	282,125	266,102	245,226	238,450	225,407	218,778	218,084	214,708																																																																																																																																																																																																																																																																																																																																												
investments-held-for-trading															27,089	27,850	34,202	30,741	23,883	19,973	10,600	17,943	11,062	13,453	28,536	28,094.29	23,162.75	18,084.65	12,641.42	13,685	25,318	26,879	24,745	27,243	33,041	21,616	17,438	18,590	12,807	12,643	13,431	12,165	14,485	19,547	15,745	20,762	13,915	15,910	13,319	13,996	14,855	13,434	13,584	14,530	13,466	14,031	16,307	17,644	22,873	10,957	7,854	7,687	10,003	6,772	4,122	5,228	8,241	8,176	7,099																																																																																																																																																																																																																																																																																																																																												
investments-held-to-maturity-(htm)															919,454	883,782	847,513	809,624	711,088	680,459	643,612	608,190	575,836	553,360	525,946	513,189.04	513,747.37	572,007.51	566,582.85	554,049	537,153	521,247	507,490	508,004	510,071	504,202	519,156	515,870	520,434	540,990	524,495	521,406	514,777	467,408	465,258	450,221	454,522	354,467	347,609	335,036	325,035	329,054	326,110	325,391	320,952	322,009	322,541	299,456	287,370	285,380	276,779	268,325	249,995	232,087	227,917	213,706	204,126	203,433	200,812																																																																																																																																																																																																																																																																																																																																												
investments-in-subsidiaries,-associates-and-joint-ventures															4,817	4,817	4,817	4,817	4,817	4,817	4,811	4,811	1,700	1,700	1,700	1,700.00	900.00	900.00	900.00	900	900	900	150	150	150	150	150	150	6,141	6,141	6,143	6,143	6,143	6,154	6,154	6,154	3,941	3,941	3,950	3,950	3,950	3,950	3,946	3,946	3,963	3,959	2,627	2,627	2,611	2,611	5,746	5,746	5,977	5,989	5,989	5,989	5,989	6,004	6,004																																																																																																																																																																																																																																																																																																																																												
net-loans-and-advances															867,967	839,651	834,656	781,864	778,894	734,441	753,175	743,789	730,649	724,860	720,089	701,353.19	677,120.91	662,924.74	647,556.83	631,191	606,708	572,441	553,402	526,118	502,196	480,739	464,092	451,241	505,059	471,689	451,177	432,717	378,808	357,743	349,564	340,486	324,322	321,241	320,237	312,597	298,548	291,103	278,501	266,019	237,180	218,780	206,112	204,782	192,698	193,134	189,758	183,519	182,735	181,025	176,767	172,934	175,153	170,955	168,720																																																																																																																																																																																																																																																																																																																																												
gross-loans-and-advances															893,674	863,280	855,947	802,141	798,272	752,692	771,045	760,057	745,378	738,361	732,153	712,510.54	687,615.67	672,753.73	656,519.85	639,706	615,104	580,324	560,803	533,230	509,413	487,844	469,447	456,961	512,890	479,206	458,592	440,670	386,155	364,811	356,258	347,117	330,398	326,916	325,753	318,644	304,618	297,192	284,617	272,053	243,554	225,023	212,501	211,171	199,431	199,434	195,821	189,468	188,276	186,608	182,130	178,204	178,297	173,767	171,342																																																																																																																																																																																																																																																																																																																																												
gross-rupee-(lkr)-loans															891,867	860,911	851,960	796,756	791,483	744,155	760,919	748,609	732,621	724,168	716,069	693,207.32	670,361.31	643,143.68	628,774.11	611,625	587,829	552,229	533,702	513,252	492,845	470,816	453,090	441,446	494,916	461,315	442,018	426,257	374,892	354,391	347,742	340,744	326,545	323,044	322,520	315,619	301,962	294,599	282,292	269,729	241,688	223,082	210,428	209,102	198,356	190,416	191,048	188,011	187,889	186,084	181,424	177,205	171,811	167,343	157,399																																																																																																																																																																																																																																																																																																																																												
gross-foreign-currencu-(fcy)-loans															1,807	2,369	3,987	5,385	6,788	8,537	10,126	11,448	12,757	14,193	16,084	19,303.22	17,254.36	29,610.05	27,745.73	28,082	27,275	28,095	27,100	19,978	16,569	17,028	16,357	15,515	17,974	17,891	16,573	14,413	11,264	10,419	8,516	6,373	3,853	3,872	3,233	3,025	2,655	2,593	2,325	2,325	1,866	1,941	2,073	2,069	1,912	4,786	2,351	2,354	1,722	1,831	1,948	1,915	7,349	7,271	14,791																																																																																																																																																																																																																																																																																																																																												
gross-non-performing-advances-(npls)															69,963	77,785	56,117	55,213	55,785	53,297	50,724	42,142	46,551	41,972	38,175	33,923.80	35,122.71	33,814.21	32,022.11	27,363	28,219	25,949	26,317	24,036	25,825	26,895	28,349	29,440	38,750	42,687	42,340	41,946	45,122	45,485	38,456	32,136	34,628	29,396	25,481	20,387	20,260	19,147	19,552	18,435	19,435	19,516	18,650	16,731	19,757	20,878	19,778	19,685	20,350	19,625	17,800	15,875	14,220	12,782	11,873																																																																																																																																																																																																																																																																																																																																												
net-non-performing-advances-(npls)															47,892	57,683	38,330	38,154	39,654	38,089	35,964	28,952	34,835	31,458	29,069	25,683.89	27,465.96	26,761.24	25,774.74	21,514	22,399	20,584	21,306	19,076	20,650	21,749	24,853	25,488	32,929	37,064	36,716	35,659	39,160	39,699	32,929	26,609	29,572	24,719	20,935	15,846	15,682	14,497	14,837	13,746	14,478	14,745	13,840	11,880	16,192	17,762	16,619	16,634	17,589	16,875	13,545	13,391	11,949	10,708	9,916																																																																																																																																																																																																																																																																																																																																												
investment-properties															1,254	1,254	1,254	1,350	1,253	1,253	1,253	1,253	1,236	1,236	1,220	1,213.32	1,151.43	1,155.40	1,164.69	1,163	1,173	1,183	1,191	844	856	868	860	860	861	861	861	881	881	888	889	796	804	808	822	83	83	7	7	7	0	0	7	0	7	7	7	7	283	184	212	7	7	7	7																																																																																																																																																																																																																																																																																																																																												
