sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
total-capital-adequacy-ratio-(car)															15.10	15.10	16.10	14.80	14.40	15.00	15.30	15.60	15.70	15.60	15.30	15.73	15.23	15.04	15.41	15.00	14.40	14.90	14.50	15.30	13.40	15.70	15.90	16.60	16.40	17.70	18.30	18.60	17.00	17.60	17.80	18.00	19.50	19.00	18.80	20.50	19.40	19.70	19.10	20.20	19.80	21.10	22.00	24.40	20.70	20.60	21.30	23.80	19.10	18.40	19.30	22.30	17.20	16.90	16.60																																																																																																																																																																																																																																																																																																																																												
specific-provision-coverage-ratio															31.50	25.80	31.70	30.90	28.90	28.50	29.10	31.30	25.20	25.00	23.90	24.29	21.80	20.86	19.51	21.40	20.60	20.70	19.00	20.60	20.00	19.10	12.30	13.40	15.00	13.20	13.30	15.00	13.20	12.70	14.40	17.20	14.60	15.90	17.80	22.30	22.60	24.30	24.10	25.40	25.50	24.40	25.80	29.00	18.50	15.20	15.30	15.50	13.60	14.00	23.90	15.70	16.00	16.20	16.50																																																																																																																																																																																																																																																																																																																																												
total-provision-coverage-ratio															36.70	30.40	37.90	36.70	34.70	34.20	35.20	38.60	31.60	32.20	31.60	32.89	29.88	29.07	27.99	31.10	29.80	30.40	28.10	29.60	27.90	26.40	18.90	19.40	20.20	17.60	17.50	19.00	16.30	15.50	17.40	20.60	17.50	19.30	21.60	29.70	30.00	31.80	31.30	32.70	32.80	32.00	34.30	38.20	34.10	30.20	30.70	30.20	27.20	28.50	30.10	33.20	22.10	22.00	22.10																																																																																																																																																																																																																																																																																																																																												
total-loans-and-advances-to-total-assets															43.40	43.50	44.90	43.70	45.60	44.80	47.30	48.10	49.50	49.80	50.40	50.12	49.84	46.56	46.68	46.80	46.30	45.40	45.80	44.30	43.70	42.80	41.90	41.40	43.70	41.90	41.50	40.50	37.80	37.80	37.80	37.80	37.00	41.50	42.20	42.90	43.00	42.70	42.10	40.40	38.80	36.90	35.80	36.70	36.00	36.90	37.50	37.40	38.40	39.80	40.10	40.70	41.10	41.20	41.40																																																																																																																																																																																																																																																																																																																																												
return-on-equity-(roe)-–-after-tax															21.30	24.70	23.30	16.70	11.40	11.20	3.10	6.80	5.50	4.70	6.40	7.72	10.00	10.90	12.42	19.10	19.60	20.50	14.00	18.30	18.90	18.10	14.80	20.30	16.00	16.60	19.10	15.10	14.70	14.40	16.10	8.60	8.10	10.10	11.20	13.60	13.50	9.40	10.50	17.40	19.00	19.60	19.90	27.10	33.00	40.80	17.40	15.10	17.50	15.70	7.10	6.90	9.60	11.40	9.30																																																																																																																																																																																																																																																																																																																																												
return-on-assets-(roa)–-before-tax															1.60	1.80	2.00	1.30	1.00	1.00	0.50	0.80	0.70	0.70	0.80	0.82	1.01	1.06	1.13	1.50	1.50	1.50	1.10	1.50	1.50	1.40	1.20	1.60	1.70	1.80	1.90	1.70	1.70	1.60	1.60	1.00	1.00	1.20	1.40	1.80	1.80	1.40	1.60	2.50	2.70	2.80	2.80	3.80	4.20	4.90	2.70	2.40	2.50	2.20	1.30	1.40	1.60	1.70	1.60																																																																																																																																																																																																																																																																																																																																												
return-on-assets-(roa)-–-after-tax															1.20	1.40	1.30	0.90	0.60	0.60	0.20	0.40	0.30	0.30	0.40	0.45	0.57	0.60	0.67	1.00	1.00	1.10	0.70	1.00	1.10	1.00	0.80	1.10	1.20	1.20	1.40	1.20	1.10	1.20	1.40	0.80	0.70	0.90	1.10	1.30	1.30	0.90	1.00	1.70	1.90	2.00	2.00	2.60	3.10	3.80	1.60	1.40	1.60	1.40	0.60	0.60	0.90	1.10	0.90																																																																																																																																																																																																																																																																																																																																												
staff-expenses-to-non-interest-expenses															56.40	56.80	56.90	55.00	55.40	52.80	47.00	55.40	54.30	51.30	50.70	54.20	53.57	55.05	56.12	54.40	54.00	54.30	54.30	51.10	53.20	49.20	41.30	52.10	53.00	54.30	52.70	47.30	50.90	54.90	56.00	54.00	53.80	55.70	58.30	52.80	52.70	45.20	54.50	51.50	51.40	52.50	54.10	49.50	51.90	52.80	55.40	54.40	55.70	56.70	59.80	53.40	54.00	54.10	55.30																																																																																																																																																																																																																																																																																																																																												
total-cost-to-total-income															74.80	74.50	73.70	81.90	86.00	86.50	89.20	85.60	86.60	87.10	86.70	87.83	86.70	86.46	86.16	83.30	83.40	83.20	85.90	81.70	80.70	80.60	81.80	77.80	78.40	78.20	77.10	79.90	80.70	83.30	84.10	88.90	89.40	88.10	87.50	82.20	81.40	84.10	78.90	73.60	65.10	65.50	73.70	66.30	63.60	60.30	74.40	80.00	80.70	83.20	87.70	83.60	84.80	84.70	85.50																																																																																																																																																																																																																																																																																																																																												
total-income-to-average-assets															9.60	10.00	10.40	10.70	10.80	11.40	11.80	11.90	12.00	12.10	12.10	11.80	12.13	12.19	12.30	12.10	12.20	12.20	11.70	10.90	10.80	10.80	10.90	10.50	10.40	10.80	11.30	11.50	11.70	11.90	12.70	12.20	12.70	13.20	13.50	12.00	11.60	11.40	11.40	11.40	11.70	11.80	12.00	14.50	15.20	15.70	14.30	15.90	15.50	15.10	13.70	15.50	15.20	15.00	14.60																																																																																																																																																																																																																																																																																																																																												
statutory-liquid-asset-ratio-(slar)-–-domestic-banking-unit-(dbu)															55.60	59.40	59.60	60.40	63.00	59.90	54.90	53.10	52.10	50.60	48.30	47.65	52.26	59.88	60.93	61.60	61.80	62.90	59.60	61.40	57.60	63.60	66.30	68.50	68.70	71.50	71.30	77.70	77.90	77.30	82.00	80.30	73.80	61.90	62.10	61.40	61.00	60.20	63.10	65.40	68.80	72.30	74.90	74.30	73.70	72.90	70.30	71.10	69.30	64.50	64.70	61.90	61.90	61.40	60.20																																																																																																																																																																																																																																																																																																																																												
