sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
total-capital-adequacy-ratio-(car)						14.80	15.60	15.70	16.30	15.30	16.60	18.60	18.60	20.50	20.00	24.40	22.00	21.00	20.60	19.80	20.00	19.30	23.00	22.40	19.10	18.50	18.20	19.90																																																																									
core-capital-ratio-(tier-i-capital)						11.80	12.30	13.60	13.40	13.50	16.60	20.10	20.60	22.00	21.10	25.00	23.60	25.60	21.20	20.70	25.70	27.00	28.40	24.80	20.60	19.80	19.50	20.10																																																																									
net-non-performing-advances-(npls)-to-capital-ratio						36.80	33.00	28.70	29.30	31.10	40.70	45.90	37.60	20.80	19.00	17.80	30.30	26.70	23.00	21.90	21.10	19.70	21.40	29.40	43.20	46.90	58.20	40.10																																																																									
non-performing-loans-to-total-loans-and-advances-(gross-non-performing-advances-(npls)-ratio)						6.90	5.50	4.80	4.30	4.50	6.40	9.50	9.30	6.40	6.80	7.90	10.40	8.90	6.70	6.70	8.80	10.40	11.50	13.20	15.00	13.80	16.00	12.10																																																																									
net-non-performing-loans-to-total-loans-and-advances-(net-non-performing-advances-(npls)-ratio)						4.90	3.90	3.60	3.40	3.60	5.60	8.20	7.80	5.00	5.10	5.80	8.90	7.60	5.60	5.50	7.00	6.70	7.40	9.40	11.90	11.50	13.90	10.20																																																																									
specific-provision-coverage-ratio						30.90	31.30	24.30	21.40	20.60	13.40	15.00	17.20	22.30	25.40	29.00	15.50	15.70	17.60	19.20	22.90	37.60	38.30	32.00	23.40	19.30	15.20	17.10																																																																									
return-on-equity-(roe)-–-after-tax						16.70	6.80	7.70	19.20	18.30	20.30	15.10	8.60	13.60	17.40	27.10	15.10	6.90	10.00	11.70	15.30	17.70	22.90	16.80	10.90	12.90	15.50	14.20																																																																									
return-on-assets-(roa)–-before-tax						1.30	0.80	0.80	1.50	1.50	1.60	1.70	1.00	1.80	2.50	3.80	2.40	1.40	1.70	2.00	2.50	2.70	3.10	2.40	1.60	1.80	2.00	2.00																																																																									
return-on-assets-(roa)-–-after-tax						0.90	0.40	0.50	1.00	1.00	1.10	1.20	0.80	1.30	1.70	2.60	1.40	0.60	0.90	1.10	1.60	2.00	2.50	1.70	1.10	1.20	1.40	1.30																																																																									
efficiency-(operating-cost)-ratio						52.00	60.10	63.80	49.30	51.50	50.20	49.90	60.10	49.90	41.90	30.10	40.80	51.00	47.60	44.70	54.50	44.80	43.10	46.40	53.40	55.00	45.90	45.80																																																																									
