sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
gdp-constant-(2002)-prices-services-wholesale-and-retail-trade								861,990	798,836.85	739,826.31	701,408.50	676,565.03	613,358.30	570,697.88	571,911.10	546,145.09	514,510.60	480,402.46	451,633.16	420,477.58	389,332.20																																																																																
gdp-constant-(2002)-prices-services-wholesale-and-retail-trade-import-trade								306,572	277,550.35	253,616.97	246,445.60	243,962.85	213,477.10	195,247.48	212,651.00	203,104.52	196,646.76	184,085.91	178,024.13	163,083.47	149,845.00																																																																																
gdp-constant-(2002)-prices-services-wholesale-and-retail-trade-export-trade								137,107	131,572.60	125,839.58	117,960.49	117,064.27	106,279.00	102,578.10	104,860.60	103,926.00	95,535.39	92,174.54	86,736.02	80,874.33	77,334.20																																																																																
gdp-constant-(2002)-prices-services-wholesale-and-retail-trade-domestic-trade								418,312	389,713.90	360,369.76	337,002.41	315,537.91	293,602.20	272,872.30	254,399.50	239,114.57	222,328.45	204,142.00	186,873.00	176,519.79	162,153.00																																																																																
gdp-constant-(2002)-prices-services-transport-and-communication								537,891	511,296.18	476,721.27	435,872.31	410,402.13	368,642.88	329,577.73	310,029.40	286,763.96	259,546.20	230,596.70	210,494.60	191,871.70	173,744.60																																																																																
gdp-constant-(2002)-prices-services-transport-and-communication-transport								439,856	419,427.70	390,847.22	357,221.17	337,088.16	302,983.07	272,085.90	256,954.20	241,648.40	220,990.00	198,733.40	185,129.80	170,284.50	153,441.30																																																																																
gdp-constant-(2002)-prices-services-transport-and-communication-cargo-handling-ports-and-civ								25,868	22,716.38	21,842.48	21,193.65	20,059.76	18,706.41	16,017.23	15,951.20	14,772.83	13,583.20	11,319.90	10,261.70	9,496.90	10,292.80																																																																																
gdp-constant-(2002)-prices-services-transport-and-communication-post-and-telecommunication								72,167	69,152.10	64,031.57	57,457.50	53,254.22	46,953.40	41,474.60	37,124.00	30,342.73	24,973.00	20,543.40	15,103.10	12,090.30	10,010.50																																																																																
gdp-constant-(2002)-prices-services-ownership-of-dwellings								80,935	80,177.79	79,174.70	76,925.82	75,607.25	74,692.41	74,051.28	73,137.00	72,345.00	71,533.47	70,748.80	70,007.60	69,252.40	68,370.80																																																																																
gdp-constant-(2002)-prices-services-private-services								84,366	80,030.14	75,946.07	70,779.49	67,119.39	62,617.36	59,163.62	55,895.60	52,500.13	48,689.30	45,176.60	42,460.00	40,592.10	39,691.00																																																																																
gdp-exp.-at-constant-(2002)-prices-external-demand-imports-of-goods-and-services									1,305,699.90	1,192,419.98	1,196,008.00	1,190,057.32	991,714.44	880,371.72	973,711.00	936,154.00	902,463.39	843,919.26	821,827.13	753,893.84	677,676.00																																																																																
gdp-exp.-at-constant-(2002)-prices-external-demand-exports-of-goods-and-services									894,037.50	852,275.94	804,793.14	803,506.59	723,879.81	665,574.90	758,971.67	756,022.30	704,408.29	678,355.51	636,081.18	590,365.92	571,195.00																																																																																
gdp-exp.-at-constant-(2002)-prices-consumption-total-consumption-expenditure									2,838,733.80	2,638,171.00	2,555,330.00	2,422,786.16	2,145,035.93	1,992,819.59	1,922,863.00	1,781,906.00	1,704,633.00	1,592,251.00	1,542,120.00	1,480,831.00	1,374,112.00																																																																																
gdp-exp.-at-constant-(2002)-prices-gdcf-gross-domestic-fixed-capital-formation									981,866.00	960,766.00	880,287.50	795,458.00	694,160.60	635,870.00	627,437.00	595,874.00	545,955.00	483,699.00	440,480.66	373,781.30	328,406.00																																																																																
gdp-exp.-at-constant-(2002)-prices-gdcf-gross-domestic-fixed-capital-formation-private									775,674.00	750,016.00	690,496.50	625,215.00	539,459.00	485,484.00	497,107.00	478,589.00	454,050.00	393,561.23	390,940.32	325,997.72	288,887.00																																																																																
gdp-exp.-at-constant-(2002)-prices-gdcf-gross-domestic-fixed-capital-formation-government									206,192.00	210,750.00	189,791.00	170,243.00	154,702.00	150,386.00	130,330.00	117,285.00	91,905.00	90,138.23	49,540.34	47,783.61	39,519.00																																																																																
gdp-exp.-at-constant-(2002)-prices-gdcf-changes-in-stocks									97,726.51	7,248.37	884.86	31,997.57	74,180.03	35,320.96	29,940.44	35,007.36	38,031.10	31,285.21	30,743.21	42,137.30	40,000.00																																																																																
gdp-exp.-at-constant-(2002)-prices-total-demand									3,506,663.91	3,266,041.33	3,045,288.00	2,863,691.00	2,645,541.93	2,449,213.73	2,365,501.11	2,232,655.66	2,090,564.00	1,941,671.46	1,827,597.26	1,733,221.68	1,636,037.00																																																																																
gdp-exp.-at-constant-(2002)-prices-external-demand-net-external-demand									-411,662.40	-340,144.04	-391,214.86	-386,550.74	-267,834.63	-214,796.82	-214,739.33	-180,131.70	-198,055.10	-165,563.75	-185,745.95	-163,527.92	-106,481.00																																																																																
