sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
gdp-constant-(2002)-prices-agriculture																																						75,790	104,229	91,274	99,623.00	73,793.77	92,111.78	88,984.63	98,909.30	76,273.84	94,015.80	83,575.23	98,718.47	69,080.47	87,680.48	84,539.28	95,517.03	68,856.56	88,137.84	77,896.27	85,263.72	67,223.99	82,723.61	76,486.12	89,176.55	63,361.37	78,018.37	71,943.05	81,773.83	60,053.92	78,381.66	68,502.63	78,958.50	57,742.48	69,744.34	63,804.95	74,578.49	54,285.84	67,171.55	61,507.05	74,182.75	51,477.18	64,575.38	58,263.38	67,535.27	50,075.20	61,711.20	57,303.70	68,446.10	51,248.50	62,586.00	54,395.20	69,300.90	48,987.84	60,691.76	55,531.14	68,404.10																																																																																																																																																																																																																																																																																																																				
gdp-constant-(2002)-prices-agriculture-tea																																						6,573	6,890	8,067	7,417.75	7,159.00	7,169.20	8,589.92	6,926.00	7,933.87	6,470.42	7,983.00	7,089.41	7,452.55	6,797.35	7,752.46	6,504.25	7,150.64	6,466.26	8,104.52	6,710.09	7,218.16	6,849.51	8,276.74	6,425.15	7,140.96	6,650.96	7,158.81	4,321.12	5,935.84	6,793.00	7,701.70	7,170.70	7,302.00	6,725.20	6,934.00	5,532.47	6,312.50	6,386.50	7,558.50	6,730.50	6,616.55	6,434.75	8,144.75	6,347.94	7,128.95	6,121.35	7,232.35	6,270.35	6,822.00	6,241.00	7,049.00	6,218.00	7,178.70	5,911.40	7,560.70	6,267.30																																																																																																																																																																																																																																																																																																																				
gdp-constant-(2002)-prices-agriculture-rubber																																						1,275	1,004	797	728.70	1,220.00	1,014.53	1,047.64	835.66	2,657.70	1,492.41	1,088.00	845.11	2,239.03	1,890.83	1,465.77	1,097.62	2,661.66	1,984.73	1,349.72	1,122.42	2,760.73	1,925.02	1,217.80	1,079.23	2,397.90	1,661.20	1,172.62	965.90	1,961.30	1,718.80	1,122.20	941.10	1,749.70	1,497.10	1,135.40	822.70	1,844.50	1,374.50	1,019.00	755.00	1,715.13	1,361.13	1,060.13	636.23	1,390.75	1,166.75	888.75	885.75	1,667.50	1,061.50	821.50	657.50	1,611.70	1,141.60	787.50	598.80																																																																																																																																																																																																																																																																																																																				
gdp-constant-(2002)-prices-agriculture-coconut																																						8,530	7,018	9,003	7,439.59	7,781.00	5,387.30	8,120.30	7,247.53	7,191.31	5,034.81	7,423.00	6,791.80	7,413.72	7,431.45	9,323.51	7,335.75	7,496.39	6,742.31	8,798.44	6,683.24	7,630.10	6,244.40	8,151.00	6,829.70	8,835.00	8,020.00	8,850.22	7,979.40	8,607.00	7,853.00	8,582.00	6,933.00	7,961.00	7,368.00	7,881.00	7,193.00	7,828.00	7,066.28	7,249.25	6,789.00	7,455.00	6,717.00	6,775.00	6,257.00	6,898.00	6,883.00	6,649.00	7,582.00	6,886.00	6,777.00	6,245.00	7,095.00	5,967.00	6,081.00	6,481.00	7,359.00																																																																																																																																																																																																																																																																																																																				
gdp-constant-(2002)-prices-agriculture-minor-export-crops																																						2,974	3,016	2,430	2,332.11	2,707.40	2,915.00	2,032.00	2,955.40	3,485.32	3,511.70	2,432.60	3,050.35	3,089.44	3,413.48	2,381.40	2,622.83	2,691.35	2,951.08	2,889.05	3,582.40	4,686.00	3,202.94	3,311.80	3,753.80	3,466.60	3,253.00	2,588.18	1,720.26	2,752.00	3,268.00	2,641.00	1,817.00	3,287.00	3,110.31	2,535.00	1,773.82	2,997.44	2,890.62	2,442.60	1,856.33	2,684.00	2,572.30	2,313.80	2,395.90	2,480.00	2,303.00	1,913.00	1,873.30	1,974.70	2,288.30	2,022.60	2,494.80	1,691.50	1,898.50	1,657.50	2,981.60																																																																																																																																																																																																																																																																																																																				
gdp-constant-(2002)-prices-agriculture-paddy																																						5,673	15,024	6,587	25,032.00	3,343.97	9,061.10	6,145.10	24,835.80	5,182.56	14,048.24	6,516.59	26,336.79	3,297.35	8,938.03	6,220.49	25,140.13	5,486.78	14,872.87	5,497.22	18,468.19	4,880.60	13,229.71	7,167.17	23,099.58	3,702.48	10,036.22	6,497.79	20,942.19	5,089.90	13,855.11	5,792.40	18,669.00	3,382.50	9,169.00	5,377.40	17,332.00	3,519.00	9,537.85	5,812.14	18,739.00	3,601.60	9,762.80	5,482.40	17,694.00	2,771.00	7,582.30	4,549.70	14,663.60	3,451.00	9,295.00	5,164.00	16,656.00	3,168.90	8,590.00	4,834.10	15,580.00																																																																																																																																																																																																																																																																																																																				
gdp-constant-(2002)-prices-agriculture-livestock																																						8,009	8,990	7,261	5,980.98	7,589.00	7,393.25	7,027.40	6,005.60	7,192.80	7,261.10	6,896.15	5,824.50	6,754.83	6,704.75	6,703.20	5,393.00	6,338.23	6,306.10	6,276.35	5,108.25	6,081.00	5,911.00	5,787.10	4,617.60	5,865.48	5,875.36	5,608.00	4,412.00	5,431.00	5,493.30	5,284.80	4,285.60	5,153.30	5,202.32	4,981.00	4,078.00	4,687.70	4,884.81	4,574.42	3,845.08	4,339.40	4,530.30	4,215.00	3,559.20	4,238.90	4,434.80	4,127.90	3,468.10	4,232.50	4,132.80	3,979.90	3,843.60	4,135.70	4,303.60	4,052.90	3,488.80																																																																																																																																																																																																																																																																																																																				
gdp-constant-(2002)-prices-agriculture-other-food-crops																																						22,710	37,662	35,338	31,415.66	22,719.28	36,878.10	35,224.35	29,939.90	21,441.80	33,807.83	31,900.10	29,396.60	19,012.49	31,747.83	31,197.25	29,764.55	18,347.40	29,937.80	27,229.60	26,863.50	17,001.50	28,248.90	26,638.50	28,105.10	16,229.15	26,887.00	25,755.16	26,927.80	15,187.00	25,051.10	23,934.00	25,363.90	14,372.00	24,121.00	22,472.00	24,538.00	13,748.94	22,886.78	21,493.33	23,808.00	13,459.00	22,281.00	21,017.30	22,830.00	12,913.00	21,074.00	19,972.00	21,565.00	13,269.00	20,292.40	18,480.10	20,965.20	13,099.50	20,699.80	18,167.70	20,565.40																																																																																																																																																																																																																																																																																																																				
gdp-constant-(2002)-prices-agriculture-plantation-development																																						2,140	2,144	1,711	1,804.80	2,207.00	2,321.70	1,915.20	1,768.00	2,165.50	2,253.62	1,861.19	1,910.26	2,233.10	2,127.66	1,751.91	1,813.69	1,903.97	1,998.34	1,662.87	1,722.00	1,803.00	1,890.14	1,563.69	1,638.00	1,694.50	1,795.00	1,472.41	1,578.00	1,568.00	1,709.00	1,409.00	1,530.00	1,476.27	1,580.00	1,342.00	1,608.00	1,447.33	1,449.41	1,304.29	1,478.00	1,393.00	1,395.00	1,241.00	1,384.00	1,205.40	1,189.00	1,071.00	1,204.00	1,105.00	1,028.00	1,079.00	1,070.00	1,012.00	970.00	1,051.00	1,011.00																																																																																																																																																																																																																																																																																																																				
gdp-constant-(2002)-prices-agriculture-firewood-and-forestry																																						4,583	7,045	5,336	4,161.34	5,104.00	5,065.50	4,553.80	4,096.21	4,888.90	4,623.53	4,386.65	4,352.93	4,651.63	4,419.36	4,179.30	4,126.47	4,384.10	4,210.96	3,937.63	3,947.89	4,170.03	4,173.56	3,742.50	3,745.67	4,142.00	4,051.80	3,636.86	3,526.70	3,901.00	3,823.00	3,431.00	3,344.00	3,625.00	3,598.64	3,198.00	3,121.90	3,465.66	3,379.01	3,090.69	2,947.00	3,245.00	3,155.00	2,913.00	2,768.00	3,008.40	2,916.00	2,954.00	2,444.00	2,854.00	2,772.00	2,800.00	2,325.00	2,698.00	2,635.00	2,635.00	2,189.00																																																																																																																																																																																																																																																																																																																				
