sub4	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925	1924	1923	1922
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing			1,251,921.24	1,132,064.97	1,146,672.03	1,043,994.20	890,925.08	896,228.51	829,576.94	735,381.85	650,509.62	637,567.21	544,914.27																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-growing-of-cereals			37,500.51	19,615.56	19,550.79	18,241.54	16,502.79	20,384.88	18,454.34	17,592.37	14,195.70	11,810.58	10,547.70																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-growing-of-rice			168,512.32	136,070.72	140,056.53	88,565.36	72,810.54	118,097.84	100,931.40	66,850.94	61,920.60	68,033.93	60,086.15																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-growing-of-vegetabl			133,317.40	100,534.64	103,590.19	100,037.01	85,842.91	90,545.93	73,091.10	69,064.75	58,218.77	58,512.26	47,703.95																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-growing-of-sugar-ca			4,567.08	3,473.12	3,377.98	3,518.50	3,498.78	2,801.14	3,430.68	3,262.93	2,622.83	2,319.32	2,441.73																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-growing-of-fruits			116,135.38	109,540.74	98,810.81	84,327.90	64,559.29	55,257.95	45,696.74	44,839.44	40,185.00	38,451.86	36,609.79																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-growing-of-oleagino			109,611.97	81,480.93	110,736.08	103,772.62	75,804.56	95,586.30	79,820.27	74,654.24	59,794.65	70,123.50	60,230.99																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-growing-of-tea-(gre			108,543.79	99,341.32	109,175.20	116,547.89	82,136.05	75,788.75	91,532.80	90,920.66	76,361.81	70,063.89	72,207.68																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-growing-of-other-be			3,863.65	2,120.86	3,284.79	2,044.01	2,095.53	1,365.86	1,622.48	1,262.98	1,488.07	1,388.35	1,294.62																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-growing-of-spices,			94,891.81	84,717.80	87,443.10	87,678.41	86,460.34	80,564.17	75,735.14	49,506.90	48,959.63	42,400.18	28,468.08																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-growing-of-rubber			17,421.96	15,771.61	23,134.45	18,961.92	10,717.57	14,225.84	17,436.66	31,493.18	46,938.12	66,721.81	44,410.93																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-growing-of-other-pe			32,544.66	27,555.80	24,323.21	24,164.75	25,673.90	24,507.41	22,635.59	19,250.85	18,473.85	16,276.87	14,496.39																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-animal-production			139,960.91	134,294.62	123,174.09	103,728.11	92,501.22	65,517.03	57,283.51	40,333.81	28,955.95	27,320.00	27,229.78																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-plant-propagation-a			13,178.24	13,355.96	13,963.32	14,065.83	14,889.16	13,807.97	12,109.87	11,165.98	10,503.59	8,920.39	8,532.56																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-forestry-and-loggin			105,760.08	107,201.92	106,736.38	100,596.79	83,815.88	75,549.38	71,766.71	64,071.80	51,151.78	46,681.32	43,338.68																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-marine-fishing-and			135,409.13	169,976.36	152,549.06	159,140.87	159,309.58	146,923.17	141,986.67	137,650.81	117,494.81	96,626.59	77,578.51																																																																																								
gdp-current-market-prices-(2010-series)-agriculture,-forestry-and-fishing-fresh-water-fishing			30,702.34	27,013.03	26,766.05	18,602.69	14,306.97	15,304.89	16,042.98	13,460.21	13,244.46	11,916.37	9,736.72																																																																																								
gdp-current-market-prices-(2010-series)-industries			3,930,042.44	4,114,101.55	3,752,368.38	3,568,559.52	3,337,427.50	2,975,231.71	2,931,998.41	2,797,328.19	2,630,765.99	2,021,036.94	1,708,867.18																																																																																								
