sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
core-capital-ratio-(tier-i-capital)															12.90	13.10	13.30	13.10	13.10	13.20	13.00	13.00	13.20	13.30	12.80	11.89	12.61	12.82	12.42	12.30	12.30	12.10	12.00	12.40	11.50	12.00	12.20	12.80	12.30	13.00	13.20	14.10	13.80	13.80	13.80	13.00	12.90	13.10	13.20	13.90	12.50	12.20	12.40	13.40	12.10	12.20	12.30	13.00	12.30	12.60	12.70	12.90	11.50	11.40	10.80	11.20	10.50	10.70	10.80																																																																																																																																																																																																																																																																																																																																												
common-equity-tier-1-ratio															12.60	12.90	13.00	12.90	13.00	13.20	13.00	13.00	13.20	13.30	12.80	11.89	12.61	12.82	12.42	12.30	12.30	12.10	12.00	11.90	11.50	12.00	12.20	12.80	12.30	13.00	13.20	14.00	13.80	13.80	13.80	13.00	12.70	13.10	13.20	13.90	12.50	12.20	12.40	13.40	12.10	12.20	12.30	13.00	12.30	12.60	12.70	12.90	11.50	11.40	10.80	11.20	10.50	10.70	10.80																																																																																																																																																																																																																																																																																																																																												
core-capital-to-total-assets-ratio															6.90	7.10	7.20	8.50	7.40	7.70	7.80	7.90	8.00	8.10	7.90	7.35	7.76	7.81	7.52	7.30	7.20	7.20	7.00	7.40	6.90	7.00	6.90	7.30	6.90	7.20	7.20	7.50	7.30	7.30	7.30	6.80	6.70	6.80	6.90	7.40	6.70	6.60	6.80	7.60	6.80	6.60	6.80	7.00	6.60	6.70	6.80	7.00	6.50	6.60	6.70	7.10	6.30	6.40	6.50																																																																																																																																																																																																																																																																																																																																												
equity-capital-&-reserves-to-total-assets-ratio															8.90	8.90	8.90	9.00	9.10	9.30	9.20	9.50	9.50	9.50	9.20	9.07	8.97	9.07	8.82	8.90	8.70	8.40	8.10	8.20	8.30	8.30	8.10	8.20	8.30	8.40	8.30	8.30	8.60	8.40	8.40	8.30	8.30	8.30	8.30	8.40	8.40	8.10	8.30	8.50	8.40	7.90	7.80	7.90	8.00	8.20	7.90	7.90	8.00	8.00	7.90	7.90	7.70	7.70	7.80																																																																																																																																																																																																																																																																																																																																												
non-performing-loans-(npls)-to-equity-capital-&-reserves															33.50	34.20	33.10	34.10	37.20	37.90	35.90	32.60	33.50	32.80	30.10	24.36	25.68	22.73	20.66	16.80	18.60	19.30	19.40	18.30	20.00	20.40	21.30	21.50	25.80	26.70	26.70	25.20	30.20	37.30	40.10	37.90	34.00	31.70	29.40	26.20	28.50	27.80	27.50	26.50	30.60	34.80	38.40	38.20	44.80	49.40	59.10	58.60	61.40	62.50	58.00	48.80	49.40	48.90	44.60																																																																																																																																																																																																																																																																																																																																												
net-non-performing-loans-(npls)-to-equity-capital-&-reserves															13.30	14.50	13.70	15.50	19.30	20.80	20.70	18.30	20.10	19.60	18.30	13.18	15.06	12.43	10.91	7.50	8.50	9.00	9.00	7.60	9.50	9.50	10.20	9.70	13.90	14.70	14.60	13.10	18.20	24.50	26.50	24.40	20.70	19.10	17.70	14.30	16.10	14.90	14.40	13.10	16.00	18.40	20.70	19.70	24.70	28.20	31.70	30.80	35.80	35.80	32.20	22.70	24.80	23.70	19.80																																																																																																																																																																																																																																																																																																																																												
gross-non-performing-advances-ratio-(gross-npls-ratio)-(non-performing-loans-to-total-loans-and-advances)															4.50	4.60	4.40	4.70	5.10	5.30	4.90	4.60	4.80	4.70	4.10	3.28	3.47	3.09	2.78	2.30	2.50	2.50	2.50	2.40	2.70	2.70	2.80	2.90	3.50	3.70	3.70	3.60	4.50	5.50	5.70	5.20	4.60	4.20	3.80	3.40	3.70	3.50	3.50	3.50	4.10	4.50	5.10	5.10	6.30	7.00	8.20	8.20	8.60	8.40	7.40	6.00	6.10	5.80	5.50																																																																																																																																																																																																																																																																																																																																												
net-non-performing-advances-ratio-(net-npls-ratio)-(net-non-performing-loans-to-total-loans-and-advances)															1.80	2.00	1.90	2.20	2.70	3.00	2.90	2.60	2.90	2.90	2.50	1.80	2.06	1.71	1.49	1.00	1.20	1.20	1.20	1.00	1.30	1.30	1.40	1.30	1.90	2.10	2.10	1.90	2.80	3.70	3.80	3.40	2.90	2.60	2.30	1.90	2.10	1.90	1.90	1.70	2.20	2.40	2.80	2.70	3.60	4.10	4.60	4.50	5.20	5.00	4.20	2.90	3.20	2.90	2.50																																																																																																																																																																																																																																																																																																																																												
foreign-currency-denominated-loans-to-total-loans-and-advances															20.20	21.10	21.20	21.60	22.30	23.30	23.90	22.10	22.10	21.50	21.10	21.73	21.02	20.50	20.47	19.80	19.90	20.50	20.10	19.70	19.20	19.90	20.70	21.70	22.00	22.50	22.80	23.20	21.60	21.00	19.90	20.00	20.20	20.20	20.30	19.60	20.40	21.30	19.90	19.30	18.10	19.40	19.10	19.20	18.60	19.10	20.50	19.80	19.30	19.20	20.70	22.30	22.50	26.00	25.10																																																																																																																																																																																																																																																																																																																																												
investments-to-total-assets															24.80	25.60	25.90	26.40	24.70	23.00	21.80	21.90	22.10	22.10	20.40	20.77	21.24	21.70	22.16	22.50	23.40	23.50	23.40	22.40	24.80	25.90	26.50	26.30	27.30	27.80	25.70	24.00	25.00	25.90	25.90	24.70	24.90	23.70	21.00	20.40	20.10	20.90	21.10	20.60	24.10	25.30	25.80	26.20	28.30	28.80	28.30	26.60	25.40	24.20	22.40	20.70	20.50	17.20	17.50																																																																																																																																																																																																																																																																																																																																												
