sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
total-capital-adequacy-ratio-(car)						16.70	16.60	15.00	16.40	15.60	15.30	17.00	17.50	16.00	15.50	15.20	15.40	13.80	13.60	12.70	12.80	10.30	10.30	10.30	8.60	8.60	11.60	11.10																																																																									
core-capital-ratio-(tier-i-capital)						13.10	13.00	11.90	13.40	12.40	12.80	14.10	14.30	13.90	13.40	13.00	12.90	11.10	11.90	11.30	12.20	9.30	8.90	9.30	7.80	7.80	10.30	9.80																																																																									
net-non-performing-advances-(npls)-to-capital-ratio						15.50	18.30	13.20	7.50	7.60	9.70	13.10	24.40	10.90	9.90	14.60	25.30	16.70	11.90	13.00	16.50	29.80	52.30	93.70	134.70	94.60	96.40	76.00																																																																									
non-performing-loans-to-total-loans-and-advances-(gross-non-performing-advances-(npls)-ratio)						4.70	4.60	3.30	2.30	2.40	2.90	3.60	5.20	3.40	3.50	5.10	8.20	6.00	5.00	5.50	6.90	9.00	12.50	14.50	15.30	13.60	15.70	15.20																																																																									
net-non-performing-loans-to-total-loans-and-advances-(net-non-performing-advances-(npls)-ratio)						2.20	2.60	1.80	1.00	1.00	1.30	1.90	3.40	1.90	1.70	2.70	4.50	2.90	2.00	1.90	2.00	3.00	5.50	7.80	9.10	6.80	8.30	8.80																																																																									
specific-provision-coverage-ratio						54.60	43.80	45.90	55.40	58.50	54.80	48.10	35.60	45.50	50.70	48.40	47.40	53.40	61.60	67.40	72.10	68.30	58.70	50.40	44.40	53.60	51.80	46.40																																																																									
return-on-equity-(roe)-–-after-tax						10.90	10.60	13.70	17.40	17.20	15.70	16.80	17.30	21.70	20.30	20.80	11.10	14.80	15.00	16.20	16.80	18.30	21.10	20.50	15.50	11.20	-9.30	13.90																																																																									
return-on-assets-(roa)–-before-tax						1.40	1.50	1.90	2.10	2.00	1.90	2.00	2.00	2.50	2.40	2.50	1.70	2.00	1.90	1.90	1.70	1.40	1.40	1.10	0.80	0.70	-0.20	1.20																																																																									
return-on-assets-(roa)-–-after-tax						1.00	1.00	1.20	1.50	1.40	1.30	1.40	1.40	1.80	1.70	1.60	0.90	1.20	1.10	1.20	1.20	1.10	1.10	0.90	0.60	0.50	-0.50	0.90																																																																									
efficiency-(operating-cost)-ratio						51.80	51.80	48.50	45.20	49.00	51.10	51.60	52.60	49.30	54.40	50.70	59.10	56.10	56.70	58.60	63.50	68.40	71.20	77.30	82.00	84.70	104.50	76.60																																																																									
staff-cost-to-operating-expenses						45.20	43.10	42.70	45.40	44.10	44.60	42.90	43.80	44.90	43.20	44.70	45.60	43.50	42.90	42.60	44.40	46.40	48.70	47.40	47.30	48.30	49.80	44.40																																																																									
net-interest-income-(nii)-to-average-assets-(net-interest-margin)						3.10	3.60	3.70	3.50	3.60	3.50	3.60	3.70	4.30	4.30	4.70	4.80	4.70	4.50	4.40	4.10	4.00	4.20	3.80	3.40	3.80	3.60	4.10																																																																									
statutory-liquid-asset-ratio-(slar)-–-domestic-banking-unit-(dbu)						33.80	27.80	25.00	27.20	25.50	28.70	33.20	30.80	26.20	26.20	29.40	33.00	25.60	24.80	23.90	24.20	26.30	26.10	33.20	30.90	30.20	29.60	28.70																																																																									
credit-to-total-deposits						86.50	93.40	94.20	90.10	91.90	91.80	86.90	86.70	92.50	91.00	81.90	76.00	93.40	93.80	93.20	86.50	81.10	79.40	81.80	90.50	90.00	83.40	80.60																																																																									
gross-loans-and-advances						8,289,516	7,362,383	6,980,883	5,791,214	5,007,522	4,258,330	3,453,875	3,079,441	2,830,682	2,329,119	1,764,189	1,406,979	1,456,603	1,366,454	1,151,160	901,463	708,990	579,784	524,482	511,281	443,099	363,760	313,796																																																																									
gross-non-performing-advances						392,849	339,547	229,222	133,310	118,313	123,371	123,527	158,897	96,248	80,862	90,313	115,895	87,395	67,775	63,251	61,765	63,874	72,289	76,104	78,245	60,187	57,227	47,831																																																																									
capital-funds						1,150,382	1,042,188	940,797	793,226	645,940	574,147	490,744	418,897	366,930	305,429	236,381	197,910	179,050	161,710	129,744	104,597	67,927	57,035	40,296	32,275	29,530	28,620	33,728																																																																									
core-capital-(tier-1-capital)						927,827	864,428	762,088	704,857	580,171	506,641	443,858	380,024	323,773	271,188	209,462	175,336	158,771	144,260	116,831	95,903	58,984	47,028	36,319	28,351	28,373	33,878	29,580																																																																									
capital-base						1,175,553	1,100,403	963,733	864,224	726,773	607,916	536,779	465,391	369,749	312,932	244,768	209,717	197,077	165,040	131,292	101,321	65,000	54,639	40,610	31,211	31,402	37,830	33,532																																																																									
deposits						9,587,312	7,884,735	7,407,815	6,424,432	5,449,413	4,638,976	3,976,635	3,552,439	3,061,297	2,558,731	2,153,425	1,850,591	1,560,247	1,456,701	1,235,537	1,042,003	875,736	730,295	641,342	565,091	492,254	436,007	389,272																																																																									
demand-deposits						693,696	528,752	543,966	496,010	479,202	446,448	380,970	296,548	269,832	280,300	267,438	199,458	166,164	175,129	183,074	165,102	128,462	106,663	87,311	72,311	72,605	66,994	58,418																																																																									
borrowings						1,586,767	1,536,754	1,571,108	1,342,446	1,445,163	1,518,959	1,186,197	825,504	727,132	566,709	450,293	334,610	400,130	373,853	338,013	245,153	153,329	136,200	119,187	143,663	160,647	86,179	73,877																																																																									
contingencies						3,228,227	2,803,368	3,004,358	2,560,649	5,891,517	2,195,476	2,084,103	2,178,657	2,026,010	1,967,856	1,414,470	1,128,041	1,179,123	1,137,724	694,009	402,477	321,874	296,590	243,467	220,154	225,014	196,289	196,225																																																																									
gross-loans-and-advances-market-share						91	91	91	90	90	90	89	90	90	90	89	88	89.10	89.10	89.30	89.90	86.90	85.90	86.50	86.20	84.60	83.50	84.20																																																																									
deposits-market-share						86	86	87	87	87	86	85	85	84	83	83	83	83.10	83.70	82.70	81.90	81.20	80.10	80.90	80.90	80.80	80.80	81.10																																																																									
borrowings-market-share						94	92	89	84	85	86	82	81	90	89	89	86	87.30	85.10	87.20	84.80	72.50	71.70	71.00	73.30	75.70	63.60	62.20																																																																									
foreign-exchange-income-(net)						31,102	26,309	47,356	23,091	25,551	27,180	19,036	17,336	26,827	15,065	11,922	12,056	13,843	9,206	9,401	5,757	6,941	4,599	4,071	5,288	3,903	3,617	3,935																																																																									
number-of-banks-gampaha						14	14	14	14	13	13	14	14	13	13	13	13	13																																																																																			
number-of-branches-gampaha						280	280	277	275	275	271	272	262	258	252	238	229	224																																																																																			
number-of-other-banking-outlets-gampaha						254	254	209	209	209	209	209	209	209	206	204	204	204																																																																																			
