sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
total-capital-adequacy-ratio-(car)															16.30	16.40	16.60	16.70	16.70	16.50	16.30	16.60	16.70	16.50	16.00	15.04	15.91	16.07	15.76	15.20	15.10	15.00	15.00	15.60	14.10	14.60	14.90	15.30	15.00	15.80	16.10	17.00	16.90	16.80	17.00	16.10	15.40	15.80	15.70	16.00	14.50	14.30	14.40	15.50	14.00	14.10	14.30	15.20	14.80	15.20	15.10	15.40	14.20	14.10	13.60	13.90	12.60	12.90	12.90																																																																																																																																																																																																																																																																																																																																												
specific-provision-coverage-ratio															60.50	57.50	58.50	54.60	48.20	45.20	42.30	43.80	40.00	40.20	39.20	45.92	41.38	45.34	47.18	55.40	54.20	53.20	53.40	58.50	52.50	53.40	52.30	54.80	46.10	45.10	45.30	48.10	39.80	34.30	34.00	35.60	39.10	39.80	39.70	45.50	43.70	46.20	47.70	50.70	47.70	47.00	46.00	48.40	44.90	43.00	46.30	47.40	41.60	42.70	44.40	53.40	49.90	51.50	55.70																																																																																																																																																																																																																																																																																																																																												
total-provision-coverage-ratio															71.70	68.10	69.10	64.70	58.40	56.40	52.40	54.00	50.40	50.60	51.20	61.07	55.79	61.39	64.91	77.80	74.60	73.70	74.70	80.30	72.10	72.50	70.80	72.60	60.30	57.80	57.80	61.50	49.90	42.60	42.20	44.40	49.80	50.90	50.90	58.40	55.10	58.50	59.40	62.60	60.00	59.40	58.60	61.80	57.70	54.10	55.90	56.90	50.80	52.30	55.40	65.90	61.40	62.20	66.50																																																																																																																																																																																																																																																																																																																																												
total-loans-and-advances-to-total-assets															65.50	65.80	66.40	64.60	66.30	67.10	67.30	67.30	66.80	66.40	67.40	67.30	66.49	66.72	65.48	64.90	64.10	64.50	63.90	63.80	62.30	62.30	61.60	61.10	61.00	60.10	59.70	58.70	57.80	57.60	59.30	61.30	60.80	62.20	63.30	65.00	64.90	64.00	64.20	65.10	62.20	61.00	59.40	59.30	56.80	57.90	57.00	56.10	57.20	59.60	62.20	64.50	62.50	64.30	63.90																																																																																																																																																																																																																																																																																																																																												
foreign-currency-denominated-loans-to-total-loans-and-advances															20.20	21.10	21.20	21.60	22.30	23.30	23.90	22.10	22.10	21.50	21.10	21.73	21.02	20.50	20.47	19.80	19.90	20.50	20.10	19.70	19.20	19.90	20.70	21.70	22.00	22.50	22.80	23.20	21.60	21.00	19.90	20.00	20.20	20.20	20.30	19.60	20.40	21.30	19.90	19.30	18.10	19.40	19.10	19.20	18.60	19.10	20.50	19.80	19.30	19.20	20.70	22.30	22.50	26.00	25.10																																																																																																																																																																																																																																																																																																																																												
return-on-equity-(roe)-–-after-tax															14.50	15.80	15.50	10.90	10.90	10.30	10.80	10.60	10.90	10.60	10.70	13.67	14.47	15.17	17.64	17.50	17.30	17.80	16.70	17.20	17.50	16.20	13.60	15.70	16.20	15.90	16.00	16.80	16.80	15.50	16.10	17.30	18.20	19.50	25.60	21.70	21.90	22.20	23.30	20.30	19.80	19.20	18.70	20.80	21.30	23.90	14.30	11.10	14.10	14.60	12.20	14.80	14.70	15.30	14.00																																																																																																																																																																																																																																																																																																																																												
return-on-assets-(roa)–-before-tax															1.70	1.80	2.00	1.40	1.40	1.30	1.40	1.50	1.60	1.50	1.60	1.91	1.97	1.99	2.18	2.10	2.10	2.10	2.00	2.00	2.00	1.90	1.70	1.90	1.90	1.90	2.00	2.00	2.00	1.90	1.90	2.00	2.10	2.20	2.80	2.50	2.60	2.60	2.80	2.40	2.40	2.20	2.30	2.50	2.70	2.80	2.10	1.70	2.00	2.10	1.70	2.00	2.00	2.00	1.90																																																																																																																																																																																																																																																																																																																																												
return-on-assets-(roa)-–-after-tax															1.30	1.40	1.40	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.25	1.30	1.35	1.53	1.50	1.40	1.50	1.40	1.40	1.40	1.30	1.10	1.30	1.40	1.30	1.40	1.40	1.40	1.30	1.30	1.40	1.50	1.60	2.10	1.80	1.80	1.80	1.90	1.70	1.60	1.50	1.50	1.60	1.70	1.90	1.10	0.90	1.10	1.20	1.00	1.20	1.10	1.20	1.10																																																																																																																																																																																																																																																																																																																																												
staff-expenses-to-non-interest-expenses															43.70	45.00	45.20	45.20	45.00	45.10	39.50	43.10	43.10	43.50	42.80	42.68	43.67	43.75	43.13	45.40	45.20	45.70	43.80	44.10	44.40	44.20	39.70	44.60	44.50	45.40	44.50	42.90	43.30	43.30	43.60	43.80	45.20	45.40	45.80	44.90	44.80	43.10	43.20	43.20	43.40	44.20	43.10	44.70	45.40	45.80	44.40	45.60	45.80	45.90	43.10	43.50	42.70	42.70	41.90																																																																																																																																																																																																																																																																																																																																												
total-cost-to-total-income															69.40	68.60	68.80	74.70	75.30	75.00	77.30	76.60	76.60	76.90	78.10	75.15	75.18	75.15	74.39	75.20	75.30	75.10	76.40	74.60	75.00	75.20	77.70	72.20	72.80	73.00	73.00	75.00	77.10	79.80	79.70	77.60	77.40	77.40	75.00	74.00	73.10	72.10	70.40	74.20	73.90	74.60	74.00	73.40	72.50	72.70	74.10	77.60	77.80	77.70	80.40	79.00	78.80	78.50	80.10																																																																																																																																																																																																																																																																																																																																												
