sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
investments															3,580,411	3,551,066	3,472,498	3,382,534	3,029,707	2,686,638	2,509,468	2,395,947	2,355,114	2,306,833	2,101,704	2,154,370.07	2,101,127.65	2,040,630.29	2,054,259.19	2,008,038	2,036,185	1,997,729	1,938,815	1,755,926	1,870,055	1,891,551	1,917,699	1,833,200	1,785,674	1,724,856	1,561,856	1,413,524	1,387,577	1,371,461	1,332,123	1,242,059	1,221,194	1,122,802	966,422	888,088	846,943	862,328	825,956	735,954	815,657	822,312	799,566	780,126	795,243	759,513	724,786	667,338	621,251	575,737	520,545	467,776	464,761	384,168	378,102																																																																																																																																																																																																																																																																																																																																												
investments-held-for-trading															613,088	668,925	651,550	732,451	750,022	648,265	633,153	558,378	625,653	616,548	625,055	593,363.21	648,943.15	629,023.72	620,353.83	633,388	646,401	633,569	542,883	437,191	515,596	493,755	498,233	484,293	502,739	548,042	462,418	385,285	382,999	397,859	457,666	444,476	412,178	357,631	278,504	291,746	265,662	275,093	287,042	254,914	314,602	307,910	306,055	283,848	298,699	256,180	215,514	202,420	198,422	174,801	153,477	134,012	147,858	90,903	93,865																																																																																																																																																																																																																																																																																																																																												
investments-held-to-maturity-(htm)															2,939,290	2,855,448	2,793,778	2,622,946	2,255,103	2,012,767	1,850,895	1,812,164	1,704,447	1,666,092	1,452,454	1,536,910.98	1,429,115.77	1,388,699.01	1,412,221.50	1,353,262	1,369,508	1,343,422	1,375,280	1,298,095	1,333,083	1,377,441	1,399,143	1,328,844	1,263,034	1,157,276	1,079,840	1,008,693	985,005	955,478	856,245	779,491	790,871	747,057	669,657	577,287	562,047	568,620	520,214	462,308	483,788	496,905	476,618	479,910	480,548	487,705	493,165	450,418	408,264	386,477	352,619	320,029	303,713	281,131	271,485																																																																																																																																																																																																																																																																																																																																												
investments-in-subsidiaries,-associates-and-joint-ventures															28,033	26,693	27,170	27,137	24,581	25,606	25,420	25,406	25,014	24,192	24,194	24,095.88	23,068.74	22,907.55	21,683.85	21,388	20,277	20,738	20,652	20,640	21,376	20,355	20,323	20,063	19,901	19,539	19,598	19,546	19,572	18,124	18,212	18,092	18,144	18,114	18,261	19,055	19,234	18,615	18,700	18,731	17,267	17,496	16,892	16,367	15,995	15,628	16,107	14,500	14,564	14,460	14,449	13,734	13,190	12,134	12,753																																																																																																																																																																																																																																																																																																																																												
net-loans-and-advances															9,154,103	8,845,289	8,535,947	8,035,354	7,895,306	7,613,670	7,565,953	7,179,064	6,937,948	6,751,389	6,787,110	6,840,886.15	6,451,002.49	6,154,776.49	5,959,281.97	5,687,493	5,480,832	5,374,625	5,186,780	4,912,486	4,602,766	4,465,898	4,370,850	4,168,805	3,898,042	3,647,516	3,545,859	3,377,935	3,138,292	2,976,462	2,974,913	3,008,839	2,913,877	2,879,586	2,855,854	2,774,487	2,675,169	2,583,200	2,458,312	2,278,467	2,054,006	1,931,275	1,783,881	1,708,361	1,537,849	1,470,894	1,390,980	1,341,091	1,340,728	1,354,066	1,385,269	1,399,026	1,365,510	1,381,437	1,329,260																																																																																																																																																																																																																																																																																																																																												
gross-loans-and-advances															9,461,525	9,132,946	8,807,466	8,289,516	8,139,168	7,846,729	7,766,499	7,362,383	7,109,284	6,915,540	6,933,244	6,980,875.93	6,578,161.62	6,273,771.30	6,068,948.08	5,791,214	5,586,162	5,475,697	5,283,654	5,007,522	4,692,592	4,555,488	4,459,170	4,258,330	3,982,442	3,728,108	3,623,494	3,453,875	3,210,468	3,047,549	3,047,938	3,079,441	2,982,474	2,942,623	2,912,649	2,830,682	2,730,685	2,637,819	2,511,096	2,329,119	2,106,147	1,984,431	1,838,522	1,764,189	1,595,568	1,528,961	1,457,490	1,406,979	1,401,736	1,416,280	1,444,481	1,456,603	1,418,841	1,433,400	1,379,413																																																																																																																																																																																																																																																																																																																																												
gross-rupee-(lkr)-loans															7,552,242	7,204,042	6,926,638	6,494,907	6,324,276	6,018,346	5,907,622	5,738,893	5,539,319	5,428,969	5,470,182	5,463,710.30	5,195,352.58	4,987,870.22	4,826,344.06	4,642,030	4,472,655	4,351,265	4,221,196	4,022,447	3,789,555	3,649,002	3,538,288	3,336,384	3,106,149	2,889,247	2,797,609	2,651,388	2,517,741	2,406,724	2,440,270	2,462,604	2,378,902	2,348,511	2,321,867	2,274,502	2,174,288	2,074,906	2,011,283	1,880,447	1,723,930	1,599,775	1,488,256	1,426,291	1,299,622	1,237,868	1,159,924	1,131,046	1,133,608	1,146,520	1,148,466	1,133,860	1,101,565	1,063,815	1,036,024																																																																																																																																																																																																																																																																																																																																												
gross-foreign-currencu-(fcy)-loans															1,909,283	1,928,904	1,880,828	1,794,609	1,814,892	1,828,383	1,858,878	1,623,490	1,569,964	1,486,571	1,463,062	1,517,165.63	1,382,809.04	1,285,901.08	1,242,604.03	1,149,233	1,113,547	1,124,470	1,062,497	985,106	903,064	906,504	920,898	921,973	876,293	838,860	825,885	802,487	692,727	640,825	607,668	616,837	603,572	594,112	590,782	556,180	556,397	562,913	499,812	448,672	382,218	384,657	350,266	337,899	297,370	292,203	298,733	278,394	270,321	271,985	298,380	325,298	319,184	372,238	346,154																																																																																																																																																																																																																																																																																																																																												
gross-non-performing-advances-(npls)															428,905	422,185	393,125	392,849	417,558	413,591	382,997	339,547	340,220	324,223	285,693	229,222.31	227,943.01	193,823.18	168,954.96	133,310	141,112	137,080	129,684	118,313	124,566	123,562	124,670	123,371	139,999	139,342	134,344	123,527	144,581	166,807	172,840	158,897	137,634	123,748	111,646	96,248	100,799	93,302	88,934	80,862	86,947	89,440	93,250	90,313	100,119	107,315	119,043	115,895	120,166	118,890	106,833	87,395	86,838	83,495	75,437																																																																																																																																																																																																																																																																																																																																												
net-non-performing-advances-(npls)															169,620	179,574	163,305	178,158	216,439	226,469	220,997	190,967	204,082	193,814	173,710	123,962.01	133,615.64	105,948.84	89,247.41	59,431	64,586	64,208	60,402	49,123	59,223	57,574	59,443	55,704	75,411	76,546	73,451	64,131	87,026	109,667	114,101	102,343	83,794	74,506	67,344	52,454	56,758	50,203	46,529	39,865	45,488	47,416	50,329	46,642	55,150	61,199	63,947	60,904	70,173	68,182	59,354	40,706	43,507	40,536	33,455																																																																																																																																																																																																																																																																																																																																												
