sub4	2025	2024	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980	1979	1978	1977	1976	1975	1974	1973	1972	1971	1970	1969	1968	1967	1966	1965	1964	1963	1962	1961	1960	1959	1958	1957	1956	1955	1954	1953	1952	1951	1950	1949	1948	1947	1946	1945	1944	1943	1942	1941	1940	1939	1938	1937	1936	1935	1934	1933	1932	1931	1930	1929	1928	1927	1926	1925
no.-of--students-graduated-arts-&-oriental-studies-(b.a.-b.a.-special)						11,795	9,565	13,851	10,305	14,082	16,387	14,651	9,156	5,330	6,940	4,432	4,830	4,012	5,142	4,405	2,410	3,366	3,373	3,288	3,214	3,656	3,613	2,739	2,513	2,246	1,574	1,977	l661	1,603	1,983																																																																		
no.-of--students-graduated-commerce-&-management-studies-(b.sc.-b.com.-b.b.a.)						3,842	5,445	6,072	5,648	5,630	5,152	5,982	4,159	1,992	2,791	2,704	2,705	2,547	2,301	2,198	2,357	3,091	2,121	2,018	1,854	2,448	1,271	1,593	1,219	1,178	363	1,022	1,179	620	1,096																																																																		
no.-of--students-graduated-law-(l.l.b.)						814	767	728	627	414	337	496	454	445	348	392	425	345	208	327	345	166	188	170	182	173	325	161	294	160	140	183	112	89	98																																																																		
no.-of--students-graduated-science-(b.sc.)						1,849	3,393	3,280	3,142	3,027	2,711	2,740	3,180	1,443	2,651	2,028	2,573	2,342	1,575	2,348	1,402	1,323	1,726	1,159	1,335	1,264	1,418	1,236	1,031	1,341	844	1,187	903	l055	1,169																																																																		
no.-of--students-graduated-engineering-(b.sc.-(eng.))						1,516	1,026	1,810	1,713	1,617	1,344	1,438	1,507	167	1,346	1,307	1,157	1,114	894	809	755	984	629	1,060	653	548	631	615	496	433	458	652	382	379	355																																																																		
no.-of--students-graduated-medicine-(m.b.b.s.)						969	1,188	182	1,176	1,135	1,145	1,209	547	800	1,061	797	943	1,294	901	896	593	964	1,273	754	801	904	1,049	897	1,023	555	442	399	447	334	339																																																																		
no.-of--students-graduated-dental-surgery-(b.d.s.)						87	87	12	148	91	79	68	73	20	65	64	71	125	70	123	74	84	74	75	71	77	70	68	56	58	66	41	69	48	42																																																																		
no.-of--students-graduated-agriculture-(b.sc.)						1,142	920	662	742	799	710	867	727	515	595	540	513	510	484	430	554	388	394	377	225	249	298	348	201	190	226	190	191	188	197																																																																		
no.-of--students-graduated-veterinary-science-(b.v.-sc.)						10	54	77	79	73	69	57	59	54	58	60	39	80	57	64	74	42	61	68	70	n.a.	35	50	36	27	37	31	29	32	31																																																																		
no.-of--students-graduated-architecture-and-quantity-surveying-(b.sc.)						115	242	421	355	224	77	214	201	150	211	118	200	116	132	13	95	69	51	58	79	55	77	127	130	45	56	68	86	71	76																																																																		
no.-of--students-graduated-computer-science-information-technology-information-&-communication-technology-management-&-information-technology						1,175	1,210	1,109	1,153	946	1,043	947	644	561	439	392	382	303	107	100	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																		
no.-of--students-graduated-indigenous-medicine						245	745	719	186	169	227	175	132	137	181	208	114	170	134	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																		
education-universities					17	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	13	13	13	13	13	13	12	12	12	10	9	9	9	9	9																																																																	
education-students					118,711	106,641	95,920	93,787	88,855	84,451	83,778	80,222	77,126	70,222	74,440	70,477	68,768	66,891	66,996	65,206	66,386	64,801	64,291	48,666	48,212	48,296	41,584	38,594	36,578	32,800	32,004	30,764	30,637	31,447	28,260	29,471	24,640	24,668	19,966	18,913	18,217	18,496	18,009	18,103	17,656	17,308	16,401	16,253	14,347	12,178	12,643	12,084	11,526	11,968	12,239	11,813	12,535	13,005	14,512	15,046	14,139	12,485	5,706	5,117	4,655	3,684	3,181	2,950	2,718	2,534	2,431	2,434	2,392	2,232	2,210	2,036	1,844	1,611																							
