sub4	2025-Q1	2024-Q4	2024-Q3	2024-Q2	2024-Q1	2023-Q4	2023-Q3	2023-Q2	2023-Q1	2022-Q4	2022-Q3	2022-Q2	2022-Q1	2021-Q4	2021-Q3	2021-Q2	2021-Q1	2020-Q4	2020-Q3	2020-Q2	2020-Q1	2019-Q4	2019-Q3	2019-Q2	2019-Q1	2018-Q4	2018-Q3	2018-Q2	2018-Q1	2017-Q4	2017-Q3	2017-Q2	2017-Q1	2016-Q4	2016-Q3	2016-Q2	2016-Q1	2015-Q4	2015-Q3	2015-Q2	2015-Q1	2014-Q4	2014-Q3	2014-Q2	2014-Q1	2013-Q4	2013-Q3	2013-Q2	2013-Q1	2012-Q4	2012-Q3	2012-Q2	2012-Q1	2011-Q4	2011-Q3	2011-Q2	2011-Q1	2010-Q4	2010-Q3	2010-Q2	2010-Q1	2009-Q4	2009-Q3	2009-Q2	2009-Q1	2008-Q4	2008-Q3	2008-Q2	2008-Q1	2007-Q4	2007-Q3	2007-Q2	2007-Q1	2006-Q4	2006-Q3	2006-Q2	2006-Q1	2005-Q4	2005-Q3	2005-Q2	2005-Q1	2004-Q4	2004-Q3	2004-Q2	2004-Q1	2003-Q4	2003-Q3	2003-Q2	2003-Q1	2002-Q4	2002-Q3	2002-Q2	2002-Q1	2001-Q4	2001-Q3	2001-Q2	2001-Q1	2000-Q4	2000-Q3	2000-Q2	2000-Q1	1999-Q4	1999-Q3	1999-Q2	1999-Q1	1998-Q4	1998-Q3	1998-Q2	1998-Q1	1997-Q4	1997-Q3	1997-Q2	1997-Q1	1996-Q4	1996-Q3	1996-Q2	1996-Q1	1995-Q4	1995-Q3	1995-Q2	1995-Q1	1994-Q4	1994-Q3	1994-Q2	1994-Q1	1993-Q4	1993-Q3	1993-Q2	1993-Q1	1992-Q4	1992-Q3	1992-Q2	1992-Q1	1991-Q4	1991-Q3	1991-Q2	1991-Q1	1990-Q4	1990-Q3	1990-Q2	1990-Q1	1989-Q4	1989-Q3	1989-Q2	1989-Q1	1988-Q4	1988-Q3	1988-Q2	1988-Q1	1987-Q4	1987-Q3	1987-Q2	1987-Q1	1986-Q4	1986-Q3	1986-Q2	1986-Q1	1985-Q4	1985-Q3	1985-Q2	1985-Q1	1984-Q4	1984-Q3	1984-Q2	1984-Q1	1983-Q4	1983-Q3	1983-Q2	1983-Q1	1982-Q4	1982-Q3	1982-Q2	1982-Q1	1981-Q4	1981-Q3	1981-Q2	1981-Q1	1980-Q4	1980-Q3	1980-Q2	1980-Q1	1979-Q4	1979-Q3	1979-Q2	1979-Q1	1978-Q4	1978-Q3	1978-Q2	1978-Q1	1977-Q4	1977-Q3	1977-Q2	1977-Q1	1976-Q4	1976-Q3	1976-Q2	1976-Q1	1975-Q4	1975-Q3	1975-Q2	1975-Q1	1974-Q4	1974-Q3	1974-Q2	1974-Q1	1973-Q4	1973-Q3	1973-Q2	1973-Q1	1972-Q4	1972-Q3	1972-Q2	1972-Q1	1971-Q4	1971-Q3	1971-Q2	1971-Q1	1970-Q4	1970-Q3	1970-Q2	1970-Q1	1969-Q4	1969-Q3	1969-Q2	1969-Q1	1968-Q4	1968-Q3	1968-Q2	1968-Q1	1967-Q4	1967-Q3	1967-Q2	1967-Q1	1966-Q4	1966-Q3	1966-Q2	1966-Q1	1965-Q4	1965-Q3	1965-Q2	1965-Q1	1964-Q4	1964-Q3	1964-Q2	1964-Q1	1963-Q4	1963-Q3	1963-Q2	1963-Q1	1962-Q4	1962-Q3	1962-Q2	1962-Q1	1961-Q4	1961-Q3	1961-Q2	1961-Q1	1960-Q4	1960-Q3	1960-Q2	1960-Q1	1959-Q4	1959-Q3	1959-Q2	1959-Q1	1958-Q4	1958-Q3	1958-Q2	1958-Q1	1957-Q4	1957-Q3	1957-Q2	1957-Q1	1956-Q4	1956-Q3	1956-Q2	1956-Q1	1955-Q4	1955-Q3	1955-Q2	1955-Q1	1954-Q4	1954-Q3	1954-Q2	1954-Q1	1953-Q4	1953-Q3	1953-Q2	1953-Q1	1952-Q4	1952-Q3	1952-Q2	1952-Q1	1951-Q4	1951-Q3	1951-Q2	1951-Q1	1950-Q4	1950-Q3	1950-Q2	1950-Q1	1949-Q4	1949-Q3	1949-Q2	1949-Q1	1948-Q4	1948-Q3	1948-Q2	1948-Q1	1947-Q4	1947-Q3	1947-Q2	1947-Q1	1946-Q4	1946-Q3	1946-Q2	1946-Q1	1945-Q4	1945-Q3	1945-Q2	1945-Q1	1944-Q4	1944-Q3	1944-Q2	1944-Q1	1943-Q4	1943-Q3	1943-Q2	1943-Q1	1942-Q4	1942-Q3	1942-Q2	1942-Q1	1941-Q4	1941-Q3	1941-Q2	1941-Q1	1940-Q4	1940-Q3	1940-Q2	1940-Q1	1939-Q4	1939-Q3	1939-Q2	1939-Q1	1938-Q4	1938-Q3	1938-Q2	1938-Q1	1937-Q4	1937-Q3	1937-Q2	1937-Q1	1936-Q4	1936-Q3	1936-Q2	1936-Q1	1935-Q4	1935-Q3	1935-Q2	1935-Q1	1934-Q4	1934-Q3	1934-Q2	1934-Q1	1933-Q4	1933-Q3	1933-Q2	1933-Q1	1932-Q4	1932-Q3	1932-Q2	1932-Q1	1931-Q4	1931-Q3	1931-Q2	1931-Q1	1930-Q4	1930-Q3	1930-Q2	1930-Q1	1929-Q4	1929-Q3	1929-Q2	1929-Q1	1928-Q4	1928-Q3	1928-Q2	1928-Q1	1927-Q4	1927-Q3	1927-Q2	1927-Q1	1926-Q4	1926-Q3	1926-Q2	1926-Q1	1925-Q4	1925-Q3	1925-Q2	1925-Q1
sector-trading-stocks												3,743.27	3,530.44	3,779.02	5,186.44	5,934.44	6,122.46	4,605.42	8,409.73	9,915.37	12,732.16	16,277.99	16,340	16,331	16,550	14,648	13,840	12,455	11,317	9,021	7,736.21	7,237.97	7,480.78	6,678.13	7,637.60	9,100.01	8,983.95	10,073.74	12,409.84	12,758.62	14,108.72	14,412.92	14,436.50	13,228.60	14,269.35	13,928.43	14,544.72																																																																																																																																																																																																																																																																																																																																																																		
sector-total-liabilities												1,617,614.04	1,599,513.56	1,551,468.90	1,452,742.99	1,382,794.97	1,349,962.74	1,358,335.66	1,367,923.65	1,376,213.31	1,362,032.18	1,393,004.33	1,390,747	1,397,111	1,399,705	1,408,050	1,383,742	1,372,772	1,348,436	1,334,311	1,227,490.89	1,197,370.52	1,159,024.04	1,135,458.83	1,112,130.06	1,065,352.80	1,027,093.66	994,082.79	915,348.89	873,273.85	824,454.66	790,738.64	742,811.40	691,058.24	661,951.33	651,525.28	622,349																																																																																																																																																																																																																																																																																																																																																																		
sector-total-deposits												837,033.75	845,718.20	801,669.84	783,995.96	758,202.86	761,567.32	757,855.04	748,577.51	748,869.90	728,319.22	763,002.59	756,687	763,296	769,095	750,790	716,848	724,318	697,517	691,798	686,719.97	653,084.52	590,934.54	558,493.01	530,740.30	512,788.84	500,092.91	490,316.21	480,635.54	461,955.31	436,050.81	418,300.56	414,116.44	402,283.65	389,858.38	370,934.68	337,296.98																																																																																																																																																																																																																																																																																																																																																																		
sector-total-borrowings												365,223.75	334,792.88	349,972.82	306,527.72	290,604.88	272,058.70	274,695.22	311,719.33	337,810.37	359,977.84	368,248.35	381,713	383,102	385,644	413,023	434,207	416,906	388,254	390,257	309,330.87	320,409.30	351,183.13	366,027.05	373,646.36	356,331.35	338,996.89	321,858.39	262,465.74	236,962.17	215,730.29	205,439.02	173,108.34	142,283.78	133,732.80	143,690.44	152,695.38																																																																																																																																																																																																																																																																																																																																																																		
sector-total-provisions-and-interest-in-suspense												116,410.87	111,401.19	104,226.21	116,257.00	123,874.07	121,455.04	106,641.44	118,442.70	110,967.45	115,894.54	99,113.66	93,919	87,650	82,905	73,122	71,073	64,318	63,585	60,855	60,015.05	56,336.80	52,465.08	49,911.46	52,182.86	50,951.47	49,457.74	48,503.29	52,974.74	40,661.59	39,042.88	37,069.99	36,738.09	35,438.12	34,328.21	31,151.97	30,647.57																																																																																																																																																																																																																																																																																																																																																																		
sector-total-regulatory-capital-base												313,692.38	305,571.39	252,577.38	238,382.18	229,622.24	224,143.09	203,647.94	203,815.44	196,981.23	187,977.30	169,290.63	167,913	166,029	161,685	142,327	146,890	145,282	144,110	122,197.59	118,418.09	116,434.02	117,871.26	98,716.24	94,779.12	96,812.14	99,294.71	81,545.87	76,836.51	86,138.11	95,747.44	81,308.61	73,502.35	73,409.43	78,375.77	70,350.14	70,895.74																																																																																																																																																																																																																																																																																																																																																																		
sector-total-interest-income-*												140,304.00	61,977.87	203,710.17	156,857.57	101,230.38	49,236.70	213,576.48	159,920.57	106,172.51	51,104.36	246,232.83	185,684	123,906	61,651	250,874	186,875	124,008	61,013	214,600	157,832.26	102,956.08	50,136.49	179,113.93	129,896.12	83,866.48	40,328.22	144,040.74	104,323.02	67,643.51	32,877.23	121,294.64	88,588.22	58,270.19	28,563.55	109,717.82	80,979.80																																																																																																																																																																																																																																																																																																																																																																		
sector-total-interest-expenses-*												82,912.20	32,567.15	80,815.72	62,750.89	41,646.52	21,178.07	104,588.55	82,838.69	57,402.73	29,672.26	136,095.72	103,563	70,408	36,002	138,235	102,821	67,722	33,609	123,656	91,979.50	59,992.56	29,147.82	97,168.98	69,844.67	44,191.14	20,812.20	69,510.05	49,639.49	31,982.19	15,610.87	62,484.22	47,203.52	31,942.48	16,341.64	68,031.54	50,784.25																																																																																																																																																																																																																																																																																																																																																																		
capital-funds-to-deposits												41.83	40.46	35.62	34.65	34.75	33.91	30.92	31.11	30.07	29.76	25.41	24.87	24.79	24.29	21.95	23.31	22.96	23.75	20.97	20.19	21.00	23.77	21.70	22.57	23.27	24.26	21.22	21.01	23.36	26.20	23.81	22.89	22.72	22.70	22.19	23.29																																																																																																																																																																																																																																																																																																																																																																		
borrowings-to-equity												1.03	0.99	1.10	1.06	1.09	1.07	1.09	1.34	1.53	1.72	1.89	2.03	2.07	2.15	2.38	2.57	2.51	2.41	2.55	2.18	2.34	2.60	2.86	3.07	3.03	2.99	2.94	2.56	2.23	2.02	1.98	1.78	1.56	1.58	1.69	1.90																																																																																																																																																																																																																																																																																																																																																																		
core-capital-ratio												20.03	19.67	15.78	15.02	15.09	15.05	13.55	13.89	13.02	12.35	10.62	10.48	10.58	10.22	8.78	9.26	9.17	12.23	10.43	10.87	10.93	11.43	9.95	9.85	10.18	10.97	9.41	9.11	11.02	12.93	11.31	11.37	11.89	13.43	11.89	12.01																																																																																																																																																																																																																																																																																																																																																																		
total-capital-ratio												21.48	21.16	17.33	16.64	16.74	16.43	14.84	15.06	14.21	13.60	11.98	11.96	11.94	11.50	10.06	10.60	10.54	12.67	10.97	11.50	11.61	12.14	10.35	10.19	10.82	11.63	9.90	9.82	11.67	13.85	12.34	12.12	12.82	14.45	13.17	13.47																																																																																																																																																																																																																																																																																																																																																																		
